Composition:
    Symbol     Freq     Count
       A      0.052     24192 / 465507
       C      0.032     14970 / 465507
       D      0.054     25210 / 465507
       E      0.049     22795 / 465507
       F      0.039     18082 / 465507
       G      0.074     34654 / 465507
       H      0.021      9712 / 465507
       I      0.083     38861 / 465507
       K      0.061     28225 / 465507
       L      0.075     35138 / 465507
       M      0.016      7535 / 465507
       N      0.077     35869 / 465507
       P      0.034     15800 / 465507
       Q      0.043     20026 / 465507
       R      0.047     21738 / 465507
       S      0.074     34329 / 465507
       T      0.061     28317 / 465507
       V      0.049     22668 / 465507
       W      0.021      9728 / 465507
       Y      0.036     16638 / 465507
       X      0.002      1020 / 465507

