Composition:
    Symbol     Freq     Count
       *      0.000         2 / 93100
       A      0.036      3387 / 93100
       C      0.027      2507 / 93100
       D      0.059      5448 / 93100
       E      0.101      9448 / 93100
       F      0.037      3467 / 93100
       G      0.060      5568 / 93100
       H      0.023      2108 / 93100
       I      0.083      7717 / 93100
       K      0.037      3476 / 93100
       L      0.103      9628 / 93100
       M      0.021      1928 / 93100
       N      0.031      2875 / 93100
       P      0.039      3653 / 93100
       Q      0.035      3275 / 93100
       R      0.070      6503 / 93100
       S      0.073      6820 / 93100
       T      0.040      3706 / 93100
       V      0.061      5704 / 93100
       W      0.020      1901 / 93100
       Y      0.032      3015 / 93100
       X      0.010       964 / 93100

