Composition:
    Symbol     Freq     Count
       A      0.035     24329 / 694190
       C      0.040     27947 / 694190
       D      0.046     31685 / 694190
       E      0.042     28940 / 694190
       F      0.037     25808 / 694190
       G      0.093     64825 / 694190
       H      0.016     10944 / 694190
       I      0.094     65175 / 694190
       K      0.044     30325 / 694190
       L      0.042     29235 / 694190
       M      0.016     10939 / 694190
       N      0.080     55407 / 694190
       P      0.045     31113 / 694190
       Q      0.030     21044 / 694190
       R      0.037     25859 / 694190
       S      0.115     80023 / 694190
       T      0.061     42001 / 694190
       V      0.061     42440 / 694190
       W      0.034     23709 / 694190
       Y      0.030     20858 / 694190
       X      0.002      1584 / 694190

