Composition:
    Symbol     Freq     Count
       A      0.078     55840 / 715067
       C      0.012      8600 / 715067
       D      0.045     31830 / 715067
       E      0.073     52491 / 715067
       F      0.035     25292 / 715067
       G      0.084     59830 / 715067
       H      0.013      9381 / 715067
       I      0.060     42951 / 715067
       K      0.041     29526 / 715067
       L      0.065     46397 / 715067
       M      0.046     32656 / 715067
       N      0.052     37096 / 715067
       P      0.032     23182 / 715067
       Q      0.043     30712 / 715067
       R      0.100     71294 / 715067
       S      0.079     56712 / 715067
       T      0.053     37770 / 715067
       V      0.048     33989 / 715067
       W      0.012      8596 / 715067
       Y      0.027     19431 / 715067
       X      0.002      1491 / 715067

