Composition:
    Symbol     Freq     Count
       *      0.000         1 / 186294
       A      0.018      3397 / 186294
       C      0.000         6 / 186294
       D      0.040      7427 / 186294
       E      0.107     20016 / 186294
       F      0.061     11326 / 186294
       G      0.046      8618 / 186294
       H      0.017      3094 / 186294
       I      0.061     11426 / 186294
       K      0.044      8195 / 186294
       L      0.129     24039 / 186294
       M      0.064     11961 / 186294
       N      0.037      6856 / 186294
       P      0.000        78 / 186294
       Q      0.086     16057 / 186294
       R      0.078     14544 / 186294
       S      0.095     17611 / 186294
       T      0.047      8819 / 186294
       V      0.031      5844 / 186294
       W      0.016      3058 / 186294
       Y      0.013      2384 / 186294
       X      0.008      1537 / 186294

