Composition:
    Symbol     Freq     Count
       A      0.055     19860 / 361899
       C      0.010      3439 / 361899
       D      0.056     20246 / 361899
       E      0.071     25651 / 361899
       F      0.041     14657 / 361899
       G      0.061     21987 / 361899
       H      0.010      3480 / 361899
       I      0.065     23688 / 361899
       K      0.052     18810 / 361899
       L      0.100     36134 / 361899
       M      0.034     12163 / 361899
       N      0.044     15932 / 361899
       P      0.043     15667 / 361899
       Q      0.031     11125 / 361899
       R      0.076     27421 / 361899
       S      0.064     23099 / 361899
       T      0.054     19415 / 361899
       V      0.053     19185 / 361899
       W      0.021      7441 / 361899
       Y      0.006      2260 / 361899
       X      0.056     20239 / 361899

