Composition:
    Symbol     Freq     Count
       A      0.057     28862 / 502686
       C      0.021     10544 / 502686
       D      0.045     22647 / 502686
       E      0.099     49962 / 502686
       F      0.051     25873 / 502686
       G      0.031     15766 / 502686
       H      0.027     13433 / 502686
       I      0.068     33974 / 502686
       K      0.083     41551 / 502686
       L      0.064     32255 / 502686
       M      0.033     16716 / 502686
       N      0.032     16117 / 502686
       P      0.036     18324 / 502686
       Q      0.016      8073 / 502686
       R      0.065     32539 / 502686
       S      0.054     27029 / 502686
       T      0.062     31306 / 502686
       V      0.043     21824 / 502686
       W      0.009      4766 / 502686
       Y      0.026     13144 / 502686
       X      0.076     37981 / 502686

