Composition:
    Symbol     Freq     Count
       A      0.054     74690 / 1380942
       C      0.022     30844 / 1380942
       D      0.052     72087 / 1380942
       E      0.107    148118 / 1380942
       F      0.051     69810 / 1380942
       G      0.050     69129 / 1380942
       H      0.019     26816 / 1380942
       I      0.069     95167 / 1380942
       K      0.075    103081 / 1380942
       L      0.086    118625 / 1380942
       M      0.036     49586 / 1380942
       N      0.045     61618 / 1380942
       P      0.044     60383 / 1380942
       Q      0.026     35414 / 1380942
       R      0.058     80161 / 1380942
       S      0.069     95062 / 1380942
       T      0.049     68195 / 1380942
       V      0.043     59897 / 1380942
       W      0.017     23112 / 1380942
       Y      0.027     36918 / 1380942
       X      0.002      2229 / 1380942

