Composition:
    Symbol     Freq     Count
       A      0.006       933 / 160792
       C      0.000        61 / 160792
       D      0.020      3295 / 160792
       E      0.031      5024 / 160792
       F      0.004       586 / 160792
       G      0.032      5212 / 160792
       H      0.025      4088 / 160792
       I      0.022      3579 / 160792
       K      0.039      6222 / 160792
       L      0.055      8919 / 160792
       M      0.029      4594 / 160792
       N      0.028      4485 / 160792
       P      0.025      3961 / 160792
       Q      0.077     12401 / 160792
       R      0.039      6291 / 160792
       S      0.035      5671 / 160792
       T      0.059      9540 / 160792
       V      0.014      2182 / 160792
       W      0.030      4875 / 160792
       Y      0.011      1742 / 160792
       X      0.418     67131 / 160792

