Composition:
    Symbol     Freq     Count
       A      0.054     65253 / 1206736
       C      0.013     15964 / 1206736
       D      0.044     53402 / 1206736
       E      0.063     76036 / 1206736
       F      0.044     52798 / 1206736
       G      0.061     73734 / 1206736
       H      0.014     16489 / 1206736
       I      0.062     74377 / 1206736
       K      0.069     82821 / 1206736
       L      0.075     90861 / 1206736
       M      0.049     58679 / 1206736
       N      0.064     76960 / 1206736
       P      0.042     50872 / 1206736
       Q      0.040     48645 / 1206736
       R      0.067     80404 / 1206736
       S      0.066     80246 / 1206736
       T      0.079     95234 / 1206736
       V      0.048     57825 / 1206736
       W      0.012     14321 / 1206736
       Y      0.033     39823 / 1206736
       X      0.002      1992 / 1206736

