Segment	Trait	Total_branches_trait	Total_branches_tree	N_selected_branches
PB2	sw-sw	1285	1824	4
PB2	hu-hu	409	1824	1
PB2	hu-sw	88	1824	0
PB2	sw-hu	42	1824	0
PB1	sw-sw	1039	1590	6
PB1	hu-hu	394	1590	2
PB1	hu-sw	116	1590	1
PB1	sw-hu	41	1590	0
PB1-F2	sw-sw	1039	1590	1
PB1-F2	hu-hu	394	1590	0
PB1-F2	hu-sw	116	1590	0
PB1-F2	sw-hu	41	1590	0
PA	sw-sw	1241	1924	11
PA	hu-hu	489	1924	11
PA	hu-sw	149	1924	0
PA	sw-hu	45	1924	1
PA-X	sw-sw	1241	1924	1
PA-X	hu-hu	489	1924	0
PA-X	hu-sw	149	1924	1
PA-X	sw-hu	45	1924	0
H1	sw-sw	1937	2538	9
H1	hu-hu	406	2538	4
H1	hu-sw	149	2538	2
H1	sw-hu	46	2538	0
H3	sw-sw	563	819	7
H3	hu-hu	194	819	0
H3	hu-sw	48	819	0
H3	sw-hu	14	819	0
NP	sw-sw	921	1431	3
NP	hu-hu	380	1431	1
NP	hu-sw	98	1431	1
NP	sw-hu	32	1431	0
N1	sw-sw	1093	1475	4
N1	hu-hu	249	1475	4
N1	hu-sw	79	1475	1
N1	sw-hu	54	1475	1
N2	sw-sw	1304	1717	5
N2	hu-hu	305	1717	6
N2	hu-sw	82	1717	0
N2	sw-hu	26	1717	0
M1	sw-sw	581	948	1
M1	hu-hu	284	948	0
M1	hu-sw	58	948	0
M1	sw-hu	25	948	0
M2	sw-sw	581	948	0
M2	hu-hu	284	948	0
M2	hu-sw	58	948	0
M2	sw-hu	25	948	0
NS1	sw-sw	1034	1525	1
NS1	hu-hu	342	1525	1
NS1	hu-sw	103	1525	0
NS1	sw-hu	46	1525	0
NEP	sw-sw	1034	1525	1
NEP	hu-hu	342	1525	0
NEP	hu-sw	103	1525	1
NEP	sw-hu	46	1525	0
