name,trait
seq_0001,human
seq_0002,human
seq_0003,human
seq_0004,human
seq_0005,human
seq_0006,human
seq_0007,human
seq_0008,human
seq_0009,human
seq_0010,human
seq_0011,human
seq_0012,human
seq_0013,human
seq_0014,human
seq_0015,human
seq_0016,human
seq_0017,human
seq_0018,human
seq_0019,human
seq_0020,human
seq_0021,human
seq_0022,human
seq_0023,human
seq_0024,human
seq_0025,human
seq_0026,human
seq_0027,human
seq_0028,human
seq_0029,human
seq_0030,human
seq_0031,human
seq_0032,human
seq_0033,human
seq_0034,human
seq_0035,human
seq_0036,human
seq_0037,human
seq_0038,human
seq_0039,human
seq_0040,human
seq_0041,human
seq_0042,human
seq_0043,human
seq_0044,human
seq_0045,human
seq_0046,human
seq_0047,human
seq_0048,human
seq_0049,human
seq_0050,human
seq_0051,human
seq_0052,human
seq_0053,human
seq_0054,human
seq_0055,human
seq_0056,human
seq_0057,human
seq_0058,human
seq_0059,human
seq_0060,human
seq_0061,human
seq_0062,human
seq_0063,human
seq_0064,human
seq_0065,human
seq_0066,human
seq_0067,human
seq_0068,human
seq_0069,human
seq_0070,human
seq_0071,human
seq_0072,human
seq_0073,human
seq_0074,human
seq_0075,human
seq_0076,human
seq_0077,human
seq_0078,human
seq_0079,human
seq_0080,human
seq_0081,human
seq_0082,human
seq_0083,human
seq_0084,human
seq_0085,human
seq_0086,human
seq_0087,human
seq_0088,human
seq_0089,human
seq_0090,human
seq_0091,human
seq_0092,human
seq_0093,human
seq_0094,human
seq_0095,human
seq_0096,human
seq_0097,human
seq_0098,human
seq_0099,human
seq_0100,human
seq_0101,human
seq_0102,human
seq_0103,human
seq_0104,human
seq_0105,human
seq_0106,human
seq_0107,human
seq_0108,human
seq_0109,human
seq_0110,human
seq_0111,human
seq_0112,human
seq_0113,human
seq_0114,human
seq_0115,human
seq_0116,human
seq_0117,human
seq_0118,human
seq_0119,human
seq_0120,human
seq_0121,human
seq_0122,human
seq_0123,human
seq_0124,human
seq_0125,human
seq_0126,human
seq_0127,human
seq_0128,human
seq_0129,human
seq_0130,human
seq_0131,human
seq_0132,human
seq_0133,human
seq_0134,human
seq_0135,human
seq_0136,human
seq_0137,human
seq_0138,human
seq_0139,human
seq_0140,human
seq_0141,human
seq_0142,human
seq_0143,human
seq_0144,human
seq_0145,human
seq_0146,human
seq_0147,human
seq_0148,human
seq_0149,human
seq_0150,human
seq_0151,human
seq_0152,human
seq_0153,human
seq_0154,human
seq_0155,human
seq_0156,human
seq_0157,human
seq_0158,human
seq_0159,human
seq_0160,human
seq_0161,human
seq_0162,human
seq_0163,human
seq_0164,human
seq_0165,human
seq_0166,human
seq_0167,human
seq_0168,human
seq_0169,human
seq_0170,human
seq_0171,human
seq_0172,human
seq_0173,human
seq_0174,human
seq_0175,human
seq_0176,human
seq_0177,human
seq_0178,human
seq_0179,human
seq_0180,human
seq_0181,human
seq_0182,human
seq_0183,human
seq_0184,human
seq_0185,human
seq_0186,human
seq_0187,human
seq_0188,swine
seq_0189,swine
seq_0190,swine
seq_0191,swine
seq_0192,swine
seq_0193,swine
seq_0194,swine
seq_0195,swine
seq_0196,swine
seq_0197,swine
seq_0198,swine
seq_0199,swine
seq_0200,swine
seq_0201,swine
seq_0202,swine
seq_0203,swine
seq_0204,swine
seq_0205,swine
seq_0206,swine
seq_0207,swine
seq_0208,swine
seq_0209,swine
seq_0210,swine
seq_0211,swine
seq_0212,swine
seq_0213,swine
seq_0214,swine
seq_0215,swine
seq_0216,swine
seq_0217,swine
seq_0218,swine
seq_0219,swine
seq_0220,swine
seq_0221,swine
seq_0222,swine
seq_0223,swine
seq_0224,swine
seq_0225,swine
seq_0226,swine
seq_0227,swine
seq_0228,swine
seq_0229,swine
seq_0230,swine
seq_0231,swine
seq_0232,swine
seq_0233,swine
seq_0234,swine
seq_0235,swine
seq_0236,swine
seq_0237,swine
seq_0238,swine
seq_0239,swine
seq_0240,swine
seq_0241,swine
seq_0242,swine
seq_0243,swine
seq_0244,swine
seq_0245,swine
seq_0246,swine
seq_0247,swine
seq_0248,swine
seq_0249,swine
seq_0250,swine
seq_0251,swine
seq_0252,swine
seq_0253,swine
seq_0254,swine
seq_0255,swine
seq_0256,swine
seq_0257,swine
seq_0258,swine
seq_0259,swine
seq_0260,swine
seq_0261,swine
seq_0262,swine
seq_0263,swine
