name,date
seq_001,2002-01-01
seq_002,2002-01-01
seq_003,2002-06-23
seq_004,2002-01-01
seq_005,2002-01-01
seq_006,2002-01-01
seq_007,2001-12-27
seq_008,2002-01-01
seq_009,2002-01-06
seq_010,2002-01-14
seq_011,2002-01-23
seq_012,1996-01-01
seq_013,1996-01-01
seq_014,1996-01-01
seq_015,1997-01-01
seq_016,1997-01-01
seq_017,1998-01-01
seq_018,1998-01-01
seq_019,1968-01-01
seq_020,1968-01-01
seq_021,1968-01-01
seq_022,1968-01-01
seq_023,1968-01-01
seq_024,1999-01-01
seq_025,1983-01-01
seq_026,1996-01-01
seq_027,1997-01-01
seq_028,1997-01-01
seq_029,1995-01-01
seq_030,1918-01-01
seq_031,
seq_032,1977-01-01
seq_033,1977-01-01
seq_034,1933-12-31
seq_035,1947-01-01
seq_036,1982-01-01
seq_037,1982-01-01
seq_038,2003-09-12
seq_039,2004-09-14
seq_040,2004-10-01
seq_041,2004-10-06
seq_042,2004-09-30
seq_043,2004-10-07
seq_044,1954-01-01
seq_045,1988-01-01
seq_046,1976-01-01
seq_047,2005-01-01
seq_048,1933-12-31
seq_049,1988-01-01
seq_050,1994-01-01
seq_051,1994-01-01
seq_052,1932-12-31
seq_053,1997-03-22
seq_054,2004-03-04
seq_055,1934-01-01
seq_056,2004-01-01
seq_057,2004-03-13
seq_058,1933-12-31
seq_059,1991-01-01
seq_060,2005-01-01
seq_061,1942-01-01
seq_062,1943-01-01
seq_063,1932-12-31
seq_064,1932-12-31
seq_065,1935-01-01
seq_066,1983-11-01
seq_067,1994-08-22
seq_068,1995-07-27
seq_069,1995-01-01
seq_070,1992-01-01
seq_071,1990-03-13
seq_072,2003-10-24
seq_073,2006-11-08
seq_074,1934-01-01
seq_075,2007-01-01
seq_076,2009-04-24
seq_077,2009-04-03
seq_078,2009-04-19
seq_079,2009-04-23
seq_080,2009-04-25
seq_081,2009-05-04
seq_082,2009-05-18
seq_083,2009-06-13
seq_084,2009-08-10
seq_085,2009-06-29
seq_086,2009-08-29
seq_087,2009-06-02
seq_088,2009-07-24
seq_089,2009-06-14
seq_090,2009-06-01
seq_091,2009-06-01
seq_092,2009-08-06
seq_093,2008-11-12
seq_094,2009-11-01
seq_095,2009-12-18
seq_096,2009-11-01
seq_097,2009-09-03
seq_098,2009-11-12
seq_099,2010-10-21
seq_100,2011-01-04
seq_101,2009-09-25
seq_102,2011-01-10
seq_103,2010-11-18
seq_104,2011-01-04
seq_105,2009-09-21
seq_106,2009-09-11
seq_107,2009-10-09
seq_108,2011-01-01
seq_109,2012-12-12
seq_110,2013-01-29
seq_111,2013-12-27
seq_112,2014-02-18
seq_113,2014-09-04
seq_114,2014-09-06
seq_115,2014-09-10
seq_116,2014-08-13
seq_117,2016-11-04
seq_118,2016-10-01
seq_119,2016-10-01
seq_120,2017-10-16
seq_121,2017-03-31
seq_122,2017-09-01
seq_123,2018-02-25
seq_124,2019-03-09
seq_125,2019-02-09
seq_126,2019-05-05
seq_127,2019-09-24
seq_128,2020-01-06
seq_129,2020-06-10
seq_130,2020-04-14
seq_131,2020-09-09
seq_132,2020-09-20
seq_133,2021-02-16
seq_134,2021-03-14
seq_135,2021-04-19
seq_136,2021-04-19
seq_137,2021-08-18
seq_138,2021-08-18
seq_139,2021-09-19
seq_140,2021-10-10
seq_141,2022-05-04
seq_142,2022-07-30
seq_143,2022-07-29
seq_144,2022-10-01
seq_145,2022-10-17
seq_146,2022-12-28
seq_147,2023-01-17
seq_148,2023-01-18
seq_149,2014-01
seq_150,2015
seq_151,2003-01-01
seq_152,2002-01-01
seq_153,2001-01-01
seq_154,1980-01-01
seq_155,1977-01-01
seq_156,2004-01-01
seq_157,2004-01-01
seq_158,2002-01-01
seq_159,1999-01-01
seq_160,2001-01-01
seq_161,2006-01-01
seq_162,1982-01-01
seq_163,1998-01-01
seq_164,1998-01-01
seq_165,1998-01-01
seq_166,1999-01-01
seq_167,1999-01-01
seq_168,1997-01-01
seq_169,1977-01-01
seq_170,1997-01-01
seq_171,1997-01-01
seq_172,1997-01-01
seq_173,1991-01-01
seq_174,1981-01-01
seq_175,2004-01-01
seq_176,2006-01-01
seq_177,2006-01-01
seq_178,2005-01-01
seq_179,2005-01-01
seq_180,2005-01-01
seq_181,2004-01-01
seq_182,2004-01-01
seq_183,2003-01-01
seq_184,2003-01-01
seq_185,2003-01-01
seq_186,1999-01-01
seq_187,1996-01-01
seq_188,1992-01-01
seq_189,1987-01-01
seq_190,2000-01-01
seq_191,2000-01-01
seq_192,1995-01-01
seq_193,2004-01-01
seq_194,2004-01-01
seq_195,1986-01-01
seq_196,1991-01-01
seq_197,1978-01-01
seq_198,1978-01-01
seq_199,1976-01-01
seq_200,1978-01-01
seq_201,1987-01-01
seq_202,1985-01-01
seq_203,1934-12-31
seq_204,1991-01-01
