name,date
seq_001,1968-01-01
seq_002,1971-01-01
seq_003,1968-01-01
seq_004,1972-01-01
seq_005,1973-01-01
seq_006,1976-01-01
seq_007,1977-01-01
seq_008,1977-01-01
seq_009,1982-01-01
seq_010,2002-01-01
seq_011,2005-09-17
seq_012,2005-12-27
seq_013,2006-01-16
seq_014,2006-02-07
seq_015,2006-01-17
seq_016,2006-02-17
seq_017,2006-02-21
seq_018,2005-12-15
seq_019,2005-12-15
seq_020,2005-12-07
seq_021,1968-01-01
seq_022,1993-01-01
seq_023,1968-01-01
seq_024,1968-01-01
seq_025,1998-01-01
seq_026,1998-01-01
seq_027,1998-01-01
seq_028,1998-01-01
seq_029,1998-01-01
seq_030,1996-01-01
seq_031,1999-01-01
seq_032,2000-01-01
seq_033,2001-01-01
seq_034,2003-01-01
seq_035,2003-01-01
seq_036,1983-01-01
seq_037,1988-01-01
seq_038,1994-02-07
seq_039,1986-01-01
seq_040,1978-01-01
seq_041,1986-01-01
seq_042,1980-01-01
seq_043,2004-11-18
seq_044,2003-01-01
seq_045,2006-12-16
seq_046,2006-12-19
seq_047,2006-12-18
seq_048,2006-12-12
seq_049,2006-01-01
seq_050,2006-01-01
seq_051,2006-01-01
seq_052,2006-08-21
seq_053,2006-09-09
seq_054,2006-09-18
seq_055,2006-11-22
seq_056,2022
seq_057,2022
seq_058,2022
seq_059,2022
seq_060,2007-01-01
seq_061,2007-11-28
seq_062,2007-11-14
seq_063,2007-10-05
seq_064,2008-02-28
seq_065,2008-04-02
seq_066,2009-05-05
seq_067,2010-10-26
seq_068,2010-09-10
seq_069,2011-04-18
seq_070,2011-05-06
seq_071,2011-07-27
seq_072,2011-06-10
seq_073,2011-08-31
seq_074,2011-04-18
seq_075,2011-07-27
seq_076,2011-10-22
seq_077,2011-11-14
seq_078,2011-11-21
seq_079,2011-11-21
seq_080,2010-11-26
seq_081,2010-06-15
seq_082,2011-07-20
seq_083,2012-01-14
seq_084,2012-03-12
seq_085,2012-07-16
seq_086,2012-03-29
seq_087,2012-08-01
seq_088,2012-07-30
seq_089,2012-08-03
seq_090,2013-02-27
seq_091,2014-08-06
seq_092,2011-12-01
seq_093,2011-12-01
seq_094,2011-12-01
seq_095,2015-06-24
seq_096,2015-11-27
seq_097,2016-03-29
seq_098,2016-11-11
seq_099,2017-01-17
seq_100,2017-01-18
seq_101,2016-12-06
seq_102,2016-12-07
seq_103,2016-12-07
seq_104,2016-12-13
seq_105,2016-11-24
seq_106,2016-12-26
seq_107,2016-11-08
seq_108,2017-01-22
seq_109,2017-02-02
seq_110,2017-02-27
seq_111,2017-07-25
seq_112,2017-06-30
seq_113,2017-08-21
seq_114,2017-07-10
seq_115,2017-03-14
seq_116,2017-03-31
seq_117,2018-03-13
seq_118,2018-02-21
seq_119,2018-07-28
seq_120,2018-07-31
seq_121,2018-08-07
seq_122,2018-09-13
seq_123,2019-01-21
seq_124,2020-04-14
seq_125,2020-10-01
seq_126,2020-11-18
seq_127,2021-01-14
seq_128,2021-03-14
seq_129,2021-08-18
seq_130,2021-08-18
seq_131,2021-09-21
seq_132,2021-10-10
seq_133,2021-12-27
seq_134,2022-04-03
seq_135,2022-03-17
seq_136,2022-03-15
seq_137,2021-07-31
seq_138,2022-08-01
seq_139,2022-07-29
seq_140,2022-10-01
seq_141,2022-08-13
seq_142,2022-08-24
seq_143,2022-08-24
seq_144,2022-09-06
seq_145,2022-10-17
seq_146,2022-09-06
seq_147,2014-01
seq_148,2002-01-01
seq_149,2001-01-01
seq_150,1980-01-01
seq_151,1977-01-01
seq_152,1999-01-01
seq_153,2001-01-01
seq_154,2002-01-01
seq_155,2006-01-01
seq_156,1997-01-01
seq_157,1999-01-01
seq_158,1999-01-01
seq_159,1991-01-01
seq_160,1994-01-01
seq_161,
seq_162,1987-01-01
seq_163,2001-01-01
seq_164,2001-01-01
seq_165,2000-01-01
seq_166,2001-01-01
seq_167,2000-01-01
seq_168,2001-01-01
seq_169,1999-01-01
seq_170,1999-01-01
seq_171,1999-01-01
seq_172,1998-01-01
seq_173,1977-01-01
seq_174,2003-01-01
seq_175,2005-01-01
seq_176,2006-01-01
seq_177,1997-01-01
seq_178,1992-01-01
seq_179,1987-01-01
seq_180,1982-01-01
seq_181,2006-01-01
seq_182,2005-01-01
seq_183,2005-01-01
seq_184,2005-01-01
seq_185,2004-01-01
seq_186,2004-01-01
seq_187,2004-01-01
seq_188,2004-01-01
seq_189,1994-01-01
seq_190,1990-01-01
seq_191,1976-01-01
seq_192,1976-01-01
seq_193,1978-01-01
seq_194,1980-01-01
seq_195,2002-01-01
seq_196,2005-01-01
seq_197,2005-01-01
seq_198,2004-01-01
seq_199,2004-01-01
seq_200,2005-01-01
seq_201,2002-01-01
seq_202,2000-01-01
seq_203,2003-01-01
seq_204,2007-01-01
seq_205,2007-01-01
seq_206,2004-01-01
seq_207,2007-01-01
seq_208,2006-01-01
seq_209,2006-01-01
seq_210,2005-01-01
seq_211,2005-01-01
seq_212,2005-01-01
seq_213,2005-01-01
seq_214,1992-01-01
seq_215,2008-01-01
seq_216,2008-01-01
seq_217,2008-01-01
seq_218,2008-01-01
seq_219,2008-01-01
seq_220,2008-01-01
seq_221,2008-10-30
seq_222,2003-01-01
seq_223,2006-11-16
seq_224,2009-02-23
seq_225,2005-11-11
seq_226,2003-01-23
seq_227,2001-04-09
seq_228,2002-02-22
seq_229,2009-10-22
seq_230,2009-07-23
seq_231,2008-01-01
seq_232,1985-01-01
seq_233,1996-01-01
seq_234,2003-01-01
seq_235,2009-11-20
seq_236,2009-01-01
seq_237,2002-08-09
seq_238,2007-09-14
seq_239,2010-07-19
seq_240,2009-12-21
seq_241,2009-11-15
seq_242,2002-11-01
seq_243,2010-05-01
seq_244,2008-01-01
seq_245,2010-01-01
seq_246,2010-04-28
seq_247,2010-01-04
seq_248,2009-12-08
seq_249,2010-09-20
seq_250,1985-01-01
seq_251,2010-06-01
seq_252,2003-09-28
seq_253,2005-04-14
seq_254,2009-05-29
seq_255,2009-05-15
seq_256,2009-05-15
seq_257,2009-05-15
seq_258,2009-05-15
seq_259,2009-05-08
seq_260,2010-12-22
seq_261,2009-11-24
seq_262,2010-09-08
seq_263,2010-02-21
seq_264,2010-12-01
seq_265,2004-01-01
seq_266,2004-01-01
seq_267,2010-11-16
seq_268,2010-11-16
seq_269,2009-04-01
seq_270,2009-08-01
seq_271,2003-01-01
seq_272,2003-10-01
seq_273,2010-12-29
seq_274,2010-12-06
seq_275,2010-02-01
seq_276,2010-12-30
