name,date
seq_001,2002-01-01
seq_002,2001-01-01
seq_003,1980-01-01
seq_004,1977-01-01
seq_005,2002-01-01
seq_006,2006-01-01
seq_007,1999-01-01
seq_008,1999-01-01
seq_009,1999-01-01
seq_010,1997-01-01
seq_011,1999-01-01
seq_012,2001-01-01
seq_013,2001-01-01
seq_014,2000-01-01
seq_015,2001-01-01
seq_016,2000-01-01
seq_017,1991-01-01
seq_018,1981-01-01
seq_019,1997-01-01
seq_020,1977-01-01
seq_021,1997-01-01
seq_022,1997-01-01
seq_023,1997-01-01
seq_024,1998-01-01
seq_025,1998-01-01
seq_026,1998-01-01
seq_027,1997-01-01
seq_028,1997-01-01
seq_029,1997-01-01
seq_030,1997-01-01
seq_031,2004-01-01
seq_032,2006-01-01
seq_033,2006-01-01
seq_034,2005-01-01
seq_035,2005-01-01
seq_036,2005-01-01
seq_037,2005-01-01
seq_038,2004-01-01
seq_039,2004-01-01
seq_040,2003-01-01
seq_041,2003-01-01
seq_042,2004-01-01
seq_043,1978-01-01
seq_044,1978-01-01
seq_045,1976-01-01
seq_046,1978-01-01
seq_047,1987-01-01
seq_048,1978-01-01
seq_049,1985-01-01
seq_050,1934-12-31
seq_051,1991-01-01
seq_052,1966-01-01
seq_053,1967-01-01
seq_054,1957-01-01
seq_055,1988-01-01
seq_056,1970
seq_057,1971-01-01
seq_058,1975-01-01
seq_059,1977-01-01
seq_060,2002-01-01
seq_061,2004-01-01
seq_062,2003-01-01
seq_063,2004-01-01
seq_064,2003-01-01
seq_065,2007-01-01
seq_066,2006-01-01
seq_067,2005-01-01
seq_068,2007-01-01
seq_069,1980-01-01
seq_070,2005-01-01
seq_071,2004-01-01
seq_072,2005-01-01
seq_073,2004-01-01
seq_074,2004-01-01
seq_075,2003-01-01
seq_076,2000-01-01
seq_077,2005-01-01
seq_078,2005-01-01
seq_079,2004-01-01
seq_080,2000-01-01
seq_081,2004-09-19
seq_082,2003-01-01
seq_083,2007-11-15
seq_084,2007-03-24
seq_085,2007-01-01
seq_086,2006-01-01
seq_087,2005-01-01
seq_088,2004-01-01
seq_089,2006-01-01
seq_090,1991-01-01
seq_091,1982-01-01
seq_092,1983-01-01
