name,date
seq_001,2002-01-01
seq_002,2002-01-01
seq_003,1995-01-01
seq_004,1996-01-01
seq_005,1996-01-01
seq_006,1996-01-01
seq_007,1997-01-01
seq_008,1992-01-01
seq_009,1996-01-01
seq_010,1996-01-01
seq_011,1996-01-01
seq_012,1997-01-01
seq_013,1918-01-01
seq_014,1998-01-01
seq_015,1968-01-01
seq_016,1968-01-01
seq_017,1968-01-01
seq_018,1968-01-01
seq_019,1968-01-01
seq_020,1968-01-01
seq_021,1995-01-01
seq_022,1999-01-01
seq_023,1983-01-01
seq_024,2003-11-29
seq_025,2000-01-28
seq_026,2003-01-20
seq_027,2000-08-29
seq_028,2000-08-16
seq_029,2000-08-25
seq_030,2001-01-08
seq_031,1933-12-31
seq_032,1947-01-01
seq_033,2003-03-08
seq_034,2003-03-21
seq_035,2003-04-10
seq_036,2003-02-19
seq_037,2003-11-28
seq_038,1988-01-01
seq_039,1976-01-01
seq_040,1986-01-01
seq_041,1980-01-01
seq_042,2002-01-01
seq_043,2005-01-01
seq_044,1933-12-31
seq_045,1988-01-01
seq_046,1994-01-01
seq_047,1994-01-01
seq_048,1934-01-01
seq_049,1933-12-31
seq_050,1933-12-31
seq_051,1991-01-01
seq_052,1976-01-01
seq_053,2005-01-01
seq_054,1942-01-01
seq_055,1946-01-01
seq_056,1934-12-31
seq_057,1932-12-31
seq_058,1932-12-31
seq_059,1946-01-01
seq_060,1932-12-31
seq_061,1976-01-01
seq_062,1933-01-10
seq_063,1994-08-22
seq_064,1995-07-27
seq_065,1995-01-01
seq_066,1990-03-13
seq_067,2006-11-08
seq_068,1989-01-01
seq_069,2007-03-01
seq_070,2007-01-01
seq_071,2008-02-20
seq_072,2009-04-19
seq_073,2009-04-07
seq_074,2009-04-23
seq_075,2009-04-24
seq_076,2009-04-15
seq_077,2009-04-16
seq_078,2009-04-01
seq_079,2009-04-26
seq_080,2009-04-01
seq_081,2009-04-24
seq_082,2009-05-15
seq_083,2009-04-27
seq_084,2009-04-25
seq_085,2009-04-15
seq_086,2009-04-01
seq_087,2009-04-25
seq_088,2009-05-26
seq_089,2009-05-09
seq_090,2009-08-19
seq_091,2009-07-27
seq_092,2009-06-18
seq_093,2009-06-19
seq_094,2009-06-29
seq_095,2009-05-16
seq_096,2009-06-14
seq_097,2009-05-01
seq_098,2007-09-01
seq_099,2007-08-19
seq_100,2007-08-17
seq_101,2008-12-28
seq_102,2007-08-19
seq_103,2008-11-12
seq_104,2009-04-30
seq_105,2009-04-28
seq_106,2009-04-28
seq_107,2009-04-27
seq_108,2009-04-27
seq_109,2009-06-01
seq_110,2009-11-09
seq_111,2009-10-14
seq_112,2009-09-21
seq_113,2009-09-22
seq_114,2009-11-02
seq_115,2009-11-19
seq_116,2010-10-21
seq_117,2011-01-04
seq_118,2009-12-15
seq_119,2011-02-08
seq_120,2011-01-10
seq_121,2009-10-30
seq_122,2011-10-06
seq_123,2011-01-04
seq_124,2009-09-21
seq_125,2011-01-01
seq_126,2011-12-01
seq_127,2012-08-27
seq_128,2012-08-09
seq_129,2012-08-27
seq_130,2012-12-12
seq_131,2013-07-29
seq_132,2013-07-22
seq_133,2013-02-27
seq_134,2013-12-27
seq_135,2011-12-02
seq_136,2015-10-23
seq_137,2015-07-02
seq_138,2016-07-30
seq_139,2016-08-04
seq_140,2016-11-11
seq_141,2016-10-21
seq_142,2016-10-01
seq_143,2016-10-01
seq_144,2017-01-03
seq_145,2017-07-28
seq_146,2017-12-27
seq_147,2017-11-07
seq_148,2017-10-22
seq_149,2017-11-30
seq_150,2017-03-31
seq_151,2017-09-01
seq_152,2018-03-16
seq_153,2018-07-28
seq_154,2018-08-07
seq_155,2018-08-09
seq_156,2018-08-20
seq_157,2018-11-04
seq_158,2019-04-04
seq_159,2019-04-03
seq_160,2019-01-14
seq_161,2019-09-24
seq_162,2020-01-17
seq_163,2020-06-10
seq_164,2020-04-14
seq_165,2020-09-09
seq_166,2020-09-10
seq_167,2020-11-18
seq_168,2021-01-14
seq_169,2021-01-21
seq_170,2021-01-27
seq_171,2021-04-19
seq_172,2021-04-19
seq_173,2021-04-01
seq_174,2021-04-10
seq_175,2021-08-18
seq_176,2021-07-29
seq_177,2021-08-18
seq_178,2021-09-01
seq_179,2021-09-21
seq_180,2021-10-10
seq_181,2021-11-24
seq_182,2021-12-27
seq_183,2021-11-24
seq_184,2022-05-29
seq_185,2022-07-30
seq_186,2022-10-01
seq_187,2022-10-07
seq_188,2022-09-02
seq_189,2022-10-17
seq_190,2022-11-17
seq_191,2023-01-18
seq_192,2009
seq_193,
seq_194,1976
seq_195,2014-01
seq_196,2002-01-01
seq_197,2001-01-01
seq_198,1980-01-01
seq_199,1977-01-01
seq_200,1997-01-01
seq_201,1998-01-01
seq_202,1999-01-01
seq_203,2002-01-01
seq_204,2002-01-01
