name,date
seq_0001,2002-01-01
seq_0002,1993-01-01
seq_0003,1995-01-01
seq_0004,1996-01-01
seq_0005,1996-01-01
seq_0006,1997-01-01
seq_0007,1998-01-01
seq_0008,1968-01-01
seq_0009,1995-01-01
seq_0010,1999-01-01
seq_0011,1969-01-01
seq_0012,
seq_0013,
seq_0014,
seq_0015,1971-01-01
seq_0016,2000-04-12
seq_0017,2003-01-20
seq_0018,2005-05-25
seq_0019,2000-08-29
seq_0020,2000-08-16
seq_0021,2000-08-15
seq_0022,1977-01-01
seq_0023,1977-01-01
seq_0024,1933-12-31
seq_0025,1947-01-01
seq_0026,1982-01-01
seq_0027,2005-06-29
seq_0028,1982-01-01
seq_0029,1995-11-15
seq_0030,1995-12-14
seq_0031,1978-01-01
seq_0032,1994-02-07
seq_0033,2000-08-09
seq_0034,2001-08-28
seq_0035,2006-04-05
seq_0036,2006-03-22
seq_0037,2003-12-16
seq_0038,1948-01-01
seq_0039,1988-01-01
seq_0040,1976-01-01
seq_0041,1918-01-01
seq_0042,2005-01-01
seq_0043,1933-12-31
seq_0044,1937-12-31
seq_0045,1934-01-01
seq_0046,1933-12-31
seq_0047,1991-01-01
seq_0048,1976-01-01
seq_0049,2005-01-01
seq_0050,1946-01-01
seq_0051,1976-01-01
seq_0052,1946-01-07
seq_0053,1933-01-10
seq_0054,1983-11-01
seq_0055,1984-11-01
seq_0056,1998-08-01
seq_0057,1998-08-01
seq_0058,1994-08-22
seq_0059,1995-07-27
seq_0060,1995-01-01
seq_0061,1992-01-01
seq_0062,2002-01-22
seq_0063,2003-11-03
seq_0064,2003-11-01
seq_0065,1976-01-01
seq_0066,1976-01-01
seq_0067,2007-01-01
seq_0068,2008-02-13
seq_0069,2009-04-14
seq_0070,2009-04-14
seq_0071,2009-04-19
seq_0072,2009-04-19
seq_0073,2009-04-09
seq_0074,2009-04-27
seq_0075,2009-05-03
seq_0076,2009-04-24
seq_0077,2009-05-10
seq_0078,2009-04-29
seq_0079,2009-06-16
seq_0080,2009-04-29
seq_0081,2009-06-01
seq_0082,2009-05-26
seq_0083,2009-06-03
seq_0084,2009-05-30
seq_0085,2009-07-14
seq_0086,2009-06-15
seq_0087,2009-06-18
seq_0088,2009-06-19
seq_0089,2009-03-01
seq_0090,2009-07-24
seq_0091,2009-06-18
seq_0092,2009-08-20
seq_0093,2009-08-12
seq_0094,2009-07-24
seq_0095,2009-06-03
seq_0096,2009-06-02
seq_0097,2009-07-13
seq_0098,2008-11-12
seq_0099,2009-08-26
seq_0100,2009-07-24
seq_0101,2009-09-22
seq_0102,2010-02-07
seq_0103,2010-02-23
seq_0104,2009-10-21
seq_0105,2009-11-23
seq_0106,2009-10-16
seq_0107,2009-10-13
seq_0108,2009-11-24
seq_0109,2010-03-08
seq_0110,2009-11-02
seq_0111,2009-09-01
seq_0112,2009-09-12
seq_0113,2009-12-13
seq_0114,2010-10-21
seq_0115,2011-01-04
seq_0116,2011-01-27
seq_0117,2011-01-10
seq_0118,2011-04-15
seq_0119,2010-08-26
seq_0120,2011-07-27
seq_0121,2011-08-25
seq_0122,2011-10-10
seq_0123,2011-10-22
seq_0124,2011-02-22
seq_0125,2011-11-14
seq_0126,2011-02-01
seq_0127,2011-10-25
seq_0128,2010-09-09
seq_0129,2010-10-26
seq_0130,2011-02-18
seq_0131,2009-12-14
seq_0132,2011-01-04
seq_0133,2009-09-21
seq_0134,2010-11-11
seq_0135,2010-12-08
seq_0136,2011-04-19
seq_0137,2010-09-01
seq_0138,2010-08-17
seq_0139,2011-10-20
seq_0140,2011-01-01
seq_0141,2011-01-07
seq_0142,2010-01-28
seq_0143,2009-12-01
seq_0144,2012-11-13
seq_0145,2012-12-12
seq_0146,2013-02-27
seq_0147,2013-12-27
seq_0148,2012-12-29
seq_0149,2013-01-05
seq_0150,2012-02-16
seq_0151,2012-06-22
seq_0152,2012-06-13
seq_0153,2014-04-13
seq_0154,2015-06-12
seq_0155,2015-12-10
seq_0156,2015-05-21
seq_0157,2015-12-14
seq_0158,2015-11-24
seq_0159,2016-11-11
seq_0160,2016-10-21
seq_0161,2016-10-01
seq_0162,2016-10-01
seq_0163,2017-07-14
seq_0164,2017-07-17
seq_0165,2017-07-28
seq_0166,2017-09-19
seq_0167,2017-09-01
seq_0168,2018-07-28
seq_0169,2018-07-31
