name,date
seq_001,2002-01-01
seq_002,2001-01-01
seq_003,1980-01-01
seq_004,1977-01-01
seq_005,2002-01-01
seq_006,2002-01-01
seq_007,1998-01-01
seq_008,1984-01-01
seq_009,2001-01-01
seq_010,2001-01-01
seq_011,2000-01-01
seq_012,2001-01-01
seq_013,2001-01-01
seq_014,1977-01-01
seq_015,1997-01-01
seq_016,1997-01-01
seq_017,1997-01-01
seq_018,1997-01-01
seq_019,2006-01-01
seq_020,2005-01-01
seq_021,2004-01-01
seq_022,2004-01-01
seq_023,2003-01-01
seq_024,2003-01-01
seq_025,2004-01-01
seq_026,2003-01-01
seq_027,2003-01-01
seq_028,2004-01-01
seq_029,2004-01-01
seq_030,1986-01-01
seq_031,1991-01-01
seq_032,1978-01-01
seq_033,1978-01-01
seq_034,1976-01-01
seq_035,1987-01-01
seq_036,1985-01-01
seq_037,1934-12-31
seq_038,1991-01-01
seq_039,1966-01-01
seq_040,1957-01-01
seq_041,1987-01-01
seq_042,1988-01-01
seq_043,1987-01-01
seq_044,2002-01-01
seq_045,2004-01-01
seq_046,2003-01-01
seq_047,2003-01-01
seq_048,2005-01-01
seq_049,1980-01-01
seq_050,2005-01-01
seq_051,2004-01-01
seq_052,2005-01-01
seq_053,2004-01-01
seq_054,2004-01-01
seq_055,2003-01-01
seq_056,2005-01-01
seq_057,2005-01-01
seq_058,2003-01-01
seq_059,2007-11-15
seq_060,2007-01-01
seq_061,2004-01-01
seq_062,2007-01-01
seq_063,2006-01-01
seq_064,2006-01-01
seq_065,1929-12-31
seq_066,2005-01-01
seq_067,2005-01-01
seq_068,2005-12-13
seq_069,2006-01-01
seq_070,2004-01-01
seq_071,2009-02-26
seq_072,2007-01-01
seq_073,2004-01-01
seq_074,2003-01-01
seq_075,2009-01-01
seq_076,2002-01-01
seq_077,1993-01-01
seq_078,1998-01-01
seq_079,1995-01-01
seq_080,2009-01-12
seq_081,2007-12-18
seq_082,1999-04-09
seq_083,2009-11-23
seq_084,2009-01-01
seq_085,2009-01-01
seq_086,2009-12-17
seq_087,2009-11-05
seq_088,2009-07-23
seq_089,2009-07-23
seq_090,2009-12-17
seq_091,2009-12-17
seq_092,2009-12-17
