#node	date	numeric date
NODE_0000025	1966-11-06	1966.848224
NODE_0000052	1967-08-04	1967.590125
NODE_0000053	1968-08-15	1968.620639
seq_423	1982-01-01	1982.000000
NODE_0000054	1989-07-18	1989.543941
seq_122	2001-01-01	2001.001370
seq_196	2011-02-27	2011.157534
NODE_0000055	1967-09-20	1967.720146
seq_353	1969-01-01	1969.001370
NODE_0000056	1967-10-12	1967.779982
seq_006	1968-01-01	1968.001366
seq_005	1968-01-01	1968.001366
seq_008	1968-01-01	1968.001366
NODE_0000057	1967-12-17	1967.959935
seq_009	1968-01-01	1968.001366
seq_010	1968-01-01	1968.001366
NODE_0000050	1968-10-26	1968.817736
NODE_0000051	1969-02-14	1969.121280
seq_153	1981-01-01	1981.001370
seq_155	1977-01-01	1977.001370
NODE_0000049	1971-05-30	1971.408579
seq_106	1982-01-01	1982.001370
NODE_0000041	1971-11-02	1971.836087
NODE_0000042	1972-02-06	1972.100128
seq_025	1973-01-01	1973.001370
NODE_0000043	1973-08-10	1973.605789
seq_035	1974-01-01	1974.001370
NODE_0000044	1979-03-06	1979.176473
NODE_0000045	1985-03-27	1985.233434
seq_126	2005-01-01	2005.001370
seq_197	1997-02-10	1997.110959
NODE_0000046	1979-09-03	1979.673813
NODE_0000047	1985-08-09	1985.604905
seq_198	1987-01-01	1987.001370
seq_200	1995-08-23	1995.642466
NODE_0000048	1985-12-28	1985.991304
seq_201	1993-04-21	1993.302740
seq_202	1992-03-12	1992.195355
NODE_0000040	1972-10-03	1972.754696
seq_112	1992-01-01	1992.001366
NODE_0000039	1973-04-11	1973.275290
NODE_0000060	1976-12-31	1976.997535
seq_154	1985-01-01	1985.001370
NODE_0000061	1980-01-25	1980.067444
seq_128	2004-01-01	2004.001366
NODE_0000062	1980-11-28	1980.907909
seq_370	1984-08-01	1984.583333
NODE_0000063	1982-01-19	1982.051259
seq_140	1984-01-01	1984.001366
NODE_0000064	1988-10-11	1988.777693
NODE_0000065	1990-12-03	1990.922940
seq_014	1999-01-01	1999.001370
NODE_0000066	2002-08-10	2002.607129
seq_267	2010-08-16	2010.623288
seq_368	2005-07-22	2005.554795
NODE_0000067	1991-09-07	1991.682635
NODE_0000068	1994-11-19	1994.884667
seq_098	2001-01-01	2001.001370
seq_111	1999-01-01	1999.001370
NODE_0000069	1992-09-27	1992.739628
seq_105	--	--
NODE_0000070	1997-02-02	1997.089471
seq_097	2002-01-01	2002.001370
NODE_0000071	1999-04-28	1999.322582
NODE_0000072	1999-09-27	1999.737179
seq_136	2007-01-01	2007.001370
seq_137	2004-01-01	2004.001366
NODE_0000073	2001-01-04	2001.009720
NODE_0000074	2001-04-01	2001.246587
seq_123	2002-01-01	2002.001370
NODE_0000075	2003-10-28	2003.823234
seq_367	2006-04-30	2006.327397
NODE_0000076	2005-02-09	2005.107115
seq_210	2009-01-01	2009.001370
NODE_0000077	2006-01-08	2006.021812
