#node	date	numeric date
NODE_0000005	1909-08-16	1909.623601
NODE_0000098	1921-06-30	1921.493501
NODE_0000099	1921-06-30	1921.493501
seq_233	1929-12-31	1929.998630
NODE_0000100	1922-05-29	1922.405936
seq_235	1929-12-31	1929.998630
NODE_0000101	1931-01-11	1931.028767
seq_253	1931-01-11	1931.028767
NODE_0000007	1983-11-01	1983.834247
seq_066	1983-11-01	1983.834247
seq_250	2000-06-14	2000.452186
NODE_0000103	1931-10-11	1931.775462
seq_203	1934-12-31	1934.998630
NODE_0000104	1936-06-24	1936.480839
seq_252	1937-01-09	1937.023288
NODE_0000105	1942-09-29	1942.744013
seq_251	1954-01-05	1954.012329
NODE_0000106	1954-09-16	1954.708557
seq_205	1957-01-01	1957.001370
NODE_0000107	1971-03-25	1971.228733
NODE_0000108	1972-05-11	1972.360332
seq_199	1976-01-01	1976.001366
seq_283	2005-01-01	2005.001370
NODE_0000109	1974-02-12	1974.116735
NODE_0000110	1976-02-14	1976.121793
seq_200	1978-01-01	1978.001370
seq_313	1990-06-17	1990.458904
NODE_0000111	1974-07-29	1974.573630
NODE_0000112	1976-01-01	1976.001366
seq_046	1976-01-01	1976.001366
seq_197	1978-01-01	1978.001370
NODE_0000113	1975-02-22	1975.142857
seq_198	1978-01-01	1978.001370
NODE_0000114	1975-07-04	1975.506661
NODE_0000115	1977-02-20	1977.137162
seq_195	1986-01-01	1986.001370
NODE_0000116	1985-01-01	1985.001552
NODE_0000117	1992-10-27	1992.822356
seq_281	2005-01-01	2005.001370
NODE_0000118	1994-10-01	1994.748050
seq_232	2006-01-01	2006.001370
seq_411	2003-08-01	2003.582192
NODE_0000119	1988-04-09	1988.272435
seq_282	2004-01-01	2004.001366
NODE_0000120	1991-04-20	1991.298993
seq_259	1996-01-01	1996.001366
seq_449	2019-06-12	2019.445205
NODE_0000121	1977-01-04	1977.009763
NODE_0000122	1977-05-12	1977.361431
seq_174	1981-01-01	1981.001370
NODE_0000123	1988-03-11	1988.191704
seq_280	2002-11-29	2002.910959
seq_299	2004-05-01	2004.331967
NODE_0000124	1979-04-15	1979.286667
NODE_0000125	1982-09-16	1982.707529
NODE_0000126	1984-05-19	1984.381660
seq_173	1991-01-01	1991.001370
NODE_0000127	1990-07-01	1990.498364
seq_184	2003-01-01	2003.001370
NODE_0000128	1994-11-27	1994.905561
seq_182	2004-01-01	2004.001366
NODE_0000129	1996-10-09	1996.771090
seq_181	2004-01-01	2004.001366
seq_333	2009-07-21	2009.552055
NODE_0000130	1984-10-18	1984.796830
seq_202	1985-01-01	1985.001370
NODE_0000131	1990-03-11	1990.189804
NODE_0000132	1990-12-15	1990.954737
seq_302	2001-11-06	2001.847945
NODE_0000133	1993-08-18	1993.628392
seq_159	1999-01-01	1999.001370
seq_279	2007-06-05	2007.426027
seq_301	2003-06-09	2003.436986
NODE_0000135	1990-10-07	1990.765580
seq_297	2010-03-16	2010.204110
seq_298	2009-10-01	2009.749315
NODE_0000136	1992-01-26	1992.070073
seq_160	2001-01-01	2001.001370
seq_300	2004-02-19	2004.135246
NODE_0000138	1981-10-14	1981.785104
seq_185	2003-01-01	2003.001370
NODE_0000139	1983-01-15	1983.039432
seq_201	1987-01-01	1987.001370
NODE_0000140	1987-05-28	1987.403935
seq_049	1988-01-01	1988.001366
seq_051	1994-01-01	1994.001370
NODE_0000141	1987-10-30	1987.830000
seq_050	1994-01-01	1994.001370
seq_071	1990-03-13	1990.195890
NODE_0000145	1990-01-10	1990.026531
seq_059	1991-01-01	1991.001370
seq_204	1991-01-01	1991.001370
NODE_0000151	1992-01-23	1992.061540
seq_194	2004-01-01	2004.001366
seq_213	2005-01-01	2005.001370
NODE_0000148	1992-10-22	1992.807429
seq_278	2000-07-11	2000.525956
NODE_0000149	1997-12-01	1997.917450
seq_272	2003-08-14	2003.617808
seq_275	2001-12-28	2001.990411
NODE_0000152	1991-04-04	1991.255186
NODE_0000153	1993-08-06	1993.594981
seq_246	2001-12-20	2001.968493
seq_277	2000-09-15	2000.706284
NODE_0000154	1993-11-05	1993.845493
seq_273	2002-12-09	2002.938356
NODE_0000155	2000-12-14	2000.950959
seq_274	2002-06-13	2002.447945
seq_276	2001-06-15	2001.453425
NODE_0000156	1988-01-01	1988.001366
seq_045	1988-01-01	1988.001366
NODE_0000157	1989-12-10	1989.939792
seq_196	1991-01-01	1991.001370
NODE_0000158	1990-04-20	1990.300549
seq_263	2003-02-01	2003.086301
NODE_0000160	1991-08-28	1991.656270
seq_067	1994-08-22	1994.639726
seq_070	1992-01-01	1992.001366
NODE_0000162	1993-05-05	1993.340287
seq_068	1995-07-27	1995.568493
seq_069	1995-01-01	1995.001370
NODE_0000163	1990-09-09	1990.689492
seq_412	1999-01-01	1999.001370
NODE_0000164	1992-05-22	1992.390526
NODE_0000165	1995-01-15	1995.038446
seq_330	2006-06-07	2006.431507
NODE_0000166	1996-08-07	1996.600530
seq_334	2005-03-08	2005.182192
seq_289	2002-01-01	2002.001370
NODE_0000168	1998-02-20	1998.137621
seq_166	1999-01-01	1999.001370
seq_167	1999-01-01	1999.001370
NODE_0000169	1995-05-14	1995.365003
NODE_0000170	1996-10-14	1996.785257
seq_018	1998-01-01	1998.001370
NODE_0000171	1998-02-15	1998.124687
seq_290	2010-02-01	2010.086301
NODE_0000172	2002-09-29	2002.745114
seq_231	2007-03-24	2007.226027
seq_506	2012-01-12	2012.031421
NODE_0000173	1998-05-07	1998.346268
NODE_0000175	1999-12-27	1999.989004
seq_291	2011-04-26	2011.316438
NODE_0000176	2001-01-02	2001.003487
seq_060	2005-01-01	2005.001370
seq_344	2011-03-22	2011.220548
NODE_0000177	2000-01-28	2000.076372
NODE_0000178	2003-09-20	2003.720456
seq_176	2006-01-01	2006.001370
seq_177	2006-01-01	2006.001370
NODE_0000179	2000-10-14	2000.784177
seq_317	2009-02-01	2009.086301
NODE_0000180	2004-01-31	2004.084667
seq_178	2005-01-01	2005.001370
seq_179	2005-01-01	2005.001370
NODE_0000181	1998-09-30	1998.746177
seq_193	2004-01-01	2004.001366
seq_296	2009-12-06	2009.930137
NODE_0000183	1999-07-15	1999.534819
seq_380	2014-10-29	2014.826027
NODE_0000184	1999-10-10	1999.773091
NODE_0000185	2001-05-18	2001.376011
seq_305	2011-11-18	2011.880822
seq_398	2016-01-27	2016.072404
NODE_0000192	2000-07-06	2000.512734
seq_384	2014-04-24	2014.310959
NODE_0000193	2002-07-19	2002.546880
seq_379	2014-12-15	2014.954795
seq_399	2016-11-23	2016.894809
