#node	date	numeric date
NODE_0000001	1961-10-01	1961.750405
NODE_0000006	1992-03-25	1992.232217
seq_068	2010-09-10	2010.691781
seq_315	2011-02-27	2011.157534
NODE_0000005	1965-06-01	1965.415810
NODE_0000003	1967-09-07	1967.683379
NODE_0000004	1967-10-24	1967.813313
seq_024	1968-01-01	1968.001366
seq_023	1968-01-01	1968.001366
NODE_0000000	1967-10-18	1967.796655
seq_001	1968-01-01	1968.001366
seq_003	1968-01-01	1968.001366
NODE_0000033	1968-01-01	1968.001366
seq_636	1969-01-01	1969.001370
seq_021	1968-01-01	1968.001366
NODE_0000007	1966-08-20	1966.635354
NODE_0000008	1970-01-05	1970.012034
seq_161	--	--
NODE_0000009	1970-09-01	1970.666093
seq_192	1976-01-01	1976.001366
NODE_0000010	1978-11-04	1978.843084
seq_194	1980-01-01	1980.001366
NODE_0000011	1981-03-27	1981.235355
NODE_0000012	1989-08-29	1989.658036
NODE_0000013	1995-10-30	1995.828965
seq_174	2003-01-01	2003.001370
NODE_0000014	1997-11-12	1997.863801
seq_209	2006-01-01	2006.001370
seq_231	2008-01-01	2008.001366
NODE_0000015	2005-05-06	2005.344504
seq_551	2014-05-20	2014.382192
NODE_0000016	2010-12-30	2010.995097
seq_550	2016-01-01	2016.001366
seq_697	2017-10-01	2017.749315
NODE_0000017	1988-08-12	1988.613659
NODE_0000018	1990-01-01	1990.001370
seq_190	1990-01-01	1990.001370
seq_266	2004-01-01	2004.001366
NODE_0000019	1989-03-28	1989.235759
NODE_0000020	1991-03-15	1991.200045
NODE_0000021	2009-03-25	2009.229889
seq_439	2012-01-01	2012.001366
seq_552	2013-04-16	2013.289041
NODE_0000022	1994-01-28	1994.076410
seq_739	2019-06-12	2019.445205
NODE_0000023	1995-02-20	1995.139702
seq_233	1996-01-01	1996.001366
seq_553	2013-10-25	2013.815068
NODE_0000024	1990-08-25	1990.648557
seq_265	2004-01-01	2004.001366
NODE_0000025	2001-07-16	2001.537838
NODE_0000026	2010-12-14	2010.953261
seq_510	2016-02-22	2016.143443
NODE_0000027	2011-11-11	2011.860422
seq_511	2016-03-03	2016.170765
seq_544	2017-03-08	2017.182192
NODE_0000028	2007-03-06	2007.178009
seq_356	2012-01-19	2012.050546
NODE_0000029	2007-06-06	2007.429998
NODE_0000034	2011-01-12	2011.032157
seq_512	2016-01-26	2016.069672
seq_514	2016-07-01	2016.498634
NODE_0000035	2010-06-22	2010.472973
seq_357	2011-02-21	2011.141096
NODE_0000036	2010-12-17	2010.959137
seq_513	2015-12-21	2015.971233
seq_528	2012-10-23	2012.810109
NODE_0000030	2007-11-20	2007.884932
seq_509	2016-03-09	2016.187158
NODE_0000031	2011-01-01	2011.002701
seq_359	2012-01-13	2012.034153
NODE_0000032	2011-05-06	2011.343388
seq_554	2014-08-19	2014.631507
seq_727	2019-05-27	2019.401370
NODE_0000037	1969-10-20	1969.801035
NODE_0000038	1970-03-18	1970.210282
seq_631	2012-08-04	2012.591530
NODE_0000039	1970-05-13	1970.364317
seq_002	1971-01-01	1971.001370
seq_879	1982-01-01	1982.000000
NODE_0000040	1971-10-08	1971.767988
seq_004	1972-01-01	1972.001366
NODE_0000232	1975-02-07	1975.101446
seq_191	1976-01-01	1976.001366
NODE_0000234	1975-09-17	1975.710474
seq_006	1976-01-01	1976.001366
seq_008	1977-01-01	1977.001370
NODE_0000235	1976-10-04	1976.758631
seq_173	1977-01-01	1977.001370
NODE_0000236	1977-01-01	1977.001370
seq_151	1977-01-01	1977.001370
seq_213	--	--
NODE_0000041	1972-02-19	1972.135264
seq_180	1982-01-01	1982.001370
NODE_0000042	1972-08-17	1972.627953
NODE_0000043	1973-01-14	1973.037620
seq_178	1992-01-01	1992.001366
seq_193	1978-01-01	1978.001370
NODE_0000044	1976-11-29	1976.911169
seq_250	1985-01-01	1985.001370
NODE_0000045	1980-01-22	1980.059155
NODE_0000046	1992-01-27	1992.073204
seq_199	2004-01-01	2004.001366
seq_234	2003-01-01	2003.001370
NODE_0000047	1983-07-25	1983.562543
seq_162	1987-01-01	1987.001370
NODE_0000048	1988-05-20	1988.382619
NODE_0000049	1988-06-20	1988.467500
seq_470	1996-01-01	1996.001366
NODE_0000050	1990-05-29	1990.405728
seq_214	1992-01-01	1992.001366
NODE_0000051	1991-01-06	1991.016176
NODE_0000052	1992-08-18	1992.630232
seq_149	2001-01-01	2001.001370
NODE_0000053	2008-08-21	2008.637438
seq_288	2010-03-01	2010.163014
seq_707	2017-02-09	2017.108219
NODE_0000054	1992-11-22	1992.891534
NODE_0000055	1994-05-24	1994.393726
seq_155	2006-01-01	2006.001370
seq_177	1997-01-01	1997.001370
NODE_0000056	1996-05-12	1996.362455
NODE_0000057	1997-10-20	1997.801787
seq_148	2002-01-01	2002.001370
seq_201	2002-01-01	2002.001370
NODE_0000058	1998-04-11	1998.274844
seq_322	2002-10-01	2002.749315
NODE_0000059	1999-06-23	1999.474206
seq_222	2003-01-01	2003.001370
NODE_0000060	1999-12-31	1999.999124
NODE_0000061	2000-11-19	2000.884784
seq_195	2002-01-01	2002.001370
seq_668	2014-05-13	2014.363014
NODE_0000062	2001-05-19	2001.378409
NODE_0000068	2001-09-02	2001.669385
seq_478	2011-06-15	2011.453425
NODE_0000069	2003-01-02	2003.003014
seq_362	2007-01-01	2007.001370
NODE_0000070	2005-01-20	2005.054507
seq_471	2012-03-28	2012.239071
seq_475	2013-02-25	2013.152055
NODE_0000063	2002-01-25	2002.067891
seq_347	2011-01-01	2011.001370
NODE_0000064	2006-04-09	2006.270627
NODE_0000065	2006-08-31	2006.665255
seq_472	2012-04-20	2012.301913
seq_876	2016-12-27	2016.987705
NODE_0000066	2011-06-23	2011.475549
seq_474	2012-07-05	2012.509563
seq_656	2015-02-25	2015.152055
NODE_0000071	2001-07-19	2001.546425
NODE_0000072	2003-03-25	2003.228253
seq_762	2019-03-06	2019.176712
seq_822	2020-06-15	2020.454918
NODE_0000073	2004-10-19	2004.798788
seq_223	2006-11-16	2006.875342
seq_661	2008-04-08	2008.269126
NODE_0000075	2005-10-08	2005.768354
NODE_0000076	2006-06-27	2006.485877
seq_477	2011-11-08	2011.853425
NODE_0000077	2007-08-14	2007.618009
seq_481	2013-04-11	2013.275342
NODE_0000078	2008-12-11	2008.943878
NODE_0000079	2009-02-09	2009.108725
NODE_0000080	2009-06-06	2009.427909
seq_346	2012-01-01	2012.001366
seq_468	2011-11-09	2011.856164
NODE_0000081	2010-10-14	2010.786198
seq_530	2014-01-01	2014.001370
seq_662	2015-10-19	2015.798630
NODE_0000082	2011-02-04	2011.095494
seq_345	2012-01-01	2012.001366
seq_625	2015-04-07	2015.264384
NODE_0000084	2011-10-06	2011.762983
seq_628	2015-10-12	2015.779452
NODE_0000085	2012-07-29	2012.575539
seq_607	2017-09-19	2017.716438
NODE_0000086	2013-08-09	2013.603763
seq_140	2022-10-01	2022.749315
NODE_0000087	2016-02-22	2016.143058
seq_801	2019-09-01	2019.667123
seq_849	2022-02-01	2022.086301
NODE_0000088	2006-07-17	2006.540119
seq_663	2015-08-12	2015.612329
NODE_0000089	2006-08-30	2006.661989
NODE_0000091	2007-07-21	2007.553163
seq_624	2015-07-07	2015.513699
seq_655	2016-01-28	2016.075137
NODE_0000092	2006-10-30	2006.827488
NODE_0000093	2007-01-20	2007.053784
seq_393	2011-09-27	2011.738356
seq_476	2010-12-03	2010.921918
NODE_0000094	2007-02-05	2007.097499
seq_479	2012-01-01	2012.001366
NODE_0000095	2007-05-17	2007.374735
seq_385	2012-01-19	2012.050546
seq_473	2012-09-13	2012.700820
NODE_0000096	2007-01-25	2007.066636
NODE_0000097	2008-01-22	2008.059410
seq_349	2010-01-01	2010.001370
seq_350	2009-01-01	2009.001370
NODE_0000098	2011-01-20	2011.052268
NODE_0000099	2011-03-09	2011.184863
seq_411	2013-07-01	2013.497260
NODE_0000100	2012-05-30	2012.410070
seq_565	2015-09-01	2015.667123
seq_708	2017-03-29	2017.239726
NODE_0000101	2012-10-01	2012.749062
seq_413	2013-10-01	2013.749315
NODE_0000102	2012-11-10	2012.860013
seq_147	2014-01-01	2014.001370
seq_711	2017-08-05	2017.593151
NODE_0000104	2012-12-21	2012.971260
seq_710	2017-11-22	2017.891781
seq_412	2013-09-01	2013.667123
seq_414	2013-11-01	2013.834247
NODE_0000106	1990-11-24	1990.897185
NODE_0000107	1991-03-31	1991.246536
NODE_0000108	1994-05-11	1994.357996
NODE_0000109	1998-04-05	1998.257811
seq_031	1999-01-01	1999.001370
seq_227	2001-04-09	2001.269863
NODE_0000110	2001-06-22	2001.473186
seq_564	2015-09-01	2015.667123
seq_859	2003-01-01	2003.000000
NODE_0000111	2000-08-22	2000.641756
seq_613	2016-11-11	2016.862022
NODE_0000112	2003-10-07	2003.766379
seq_460	2006-01-06	2006.015068
NODE_0000113	2009-02-27	2009.157132
seq_459	2011-06-01	2011.415068
NODE_0000114	2009-10-14	2009.784041
seq_526	2016-05-09	2016.353825
seq_683	2013-01-01	2013.001370
NODE_0000115	2001-01-18	2001.047868
NODE_0000116	2007-09-15	2007.704192
seq_532	2014-01-01	2014.001370
seq_560	2014-09-01	2014.667123
NODE_0000117	2001-02-18	2001.134141
NODE_0000119	2003-01-12	2003.030498
NODE_0000120	2006-12-23	2006.975881
seq_615	2016-10-25	2016.815574
seq_684	2014-01-01	2014.001370
NODE_0000121	2003-02-17	2003.130550
seq_447	2009-07-01	2009.497260
NODE_0000122	2006-05-31	2006.411128
seq_448	2007-09-06	2007.680822
seq_622	2015-10-15	2015.787671
