	given_date	apparent_date	residual
seq_213	2005.0013698630137	1979.8356679261187	-7.47781982794699
seq_203	2003.0013698630137	2017.6410670738533	4.350088002824942
seq_647	2017.7767123287672	2031.480948436522	4.072121999632959
seq_208	2006.0013698630137	1981.777226630105	-7.198041963474939
seq_913	2022.817808219178	2002.5319437550586	-6.027808796957936
seq_780	2020.5396174863388	2054.6363532883606	10.131616741229099
seq_107	2016.853825136612	2034.7714276488075	5.32409561517282
seq_103	2016.9330601092897	2032.988418604352	4.770742274554173
seq_100	2017.0479452054794	2035.0980984078058	5.363482165222281
seq_101	2016.9303278688524	2033.422835799878	4.900638302418502
