#node	date	numeric date
NODE_0000013	1909-07-05	1909.508801
NODE_0000235	1971-08-22	1971.638689
seq_091	1982-01-01	1982.001370
NODE_0000230	1974-10-05	1974.760177
NODE_0000231	1978-09-14	1978.703890
seq_196	1996-10-01	1996.750000
NODE_0000232	2002-05-18	2002.376079
NODE_0000233	2011-07-18	2011.544391
seq_383	2012-04-01	2012.250000
seq_386	--	--
NODE_0000234	2009-09-04	2009.674272
seq_384	2013-02-01	2013.086301
seq_385	--	--
NODE_0000229	1981-05-25	1981.395646
seq_186	1982-10-01	1982.749315
NODE_0000228	1983-09-05	1983.678430
seq_094	1985-01-01	1985.001370
NODE_0000227	1985-01-20	1985.052743
seq_287	1999-01-01	1999.001370
NODE_0000212	1988-09-09	1988.689253
NODE_0000213	1989-10-31	1989.830176
seq_190	2006-05-12	2006.360274
NODE_0000214	1990-10-01	1990.749707
NODE_0000220	1992-06-03	1992.421579
seq_193	1998-06-17	1998.458904
seq_195	2002-12-04	2002.924658
NODE_0000215	1991-10-02	1991.751186
NODE_0000216	1991-11-20	1991.887239
seq_007	1999-01-01	1999.001370
seq_187	1998-11-19	1998.883562
NODE_0000217	1992-06-17	1992.460577
seq_191	1996-07-09	1996.520492
NODE_0000218	1995-11-05	1995.844415
seq_114	1999-01-01	1999.001370
seq_182	2001-12-21	2001.971233
NODE_0000221	1991-10-07	1991.766899
seq_194	2002-03-06	2002.176712
NODE_0000222	1992-07-31	1992.580768
seq_279	2004-11-01	2004.834699
NODE_0000223	1994-01-13	1994.033092
seq_189	1999-11-12	1999.864384
NODE_0000224	2002-10-20	2002.801768
NODE_0000225	2006-07-21	2006.552055
seq_181	2008-12-25	2008.982240
seq_188	2006-07-21	2006.552055
NODE_0000226	2005-08-13	2005.614828
seq_271	2013-08-21	2013.636986
seq_277	2012-07-16	2012.539617
NODE_0000200	1989-06-23	1989.476494
NODE_0000201	1991-09-23	1991.727233
seq_078	2005-01-01	2005.001370
NODE_0000202	1992-02-04	1992.093665
NODE_0000203	1992-10-03	1992.756048
seq_071	2004-01-01	2004.001366
seq_076	2000-01-01	2000.001366
NODE_0000205	1992-05-23	1992.392313
seq_214	2009-11-17	2009.878082
NODE_0000206	1995-03-24	1995.226669
seq_075	2003-01-01	2003.001370
NODE_0000207	1997-07-12	1997.526641
seq_073	2004-01-01	2004.001366
seq_213	2009-01-15	2009.039726
NODE_0000208	1993-05-09	1993.351978
