	given_date	apparent_date	residual
seq_386	2011.0863013698631	2039.8843989054778	7.765629418596289
seq_385	2012.1653005464482	2032.936025712897	5.600986460951957
seq_401	2012.217213114754	2043.2239035630523	8.361193555262869
seq_402	2014.36301369863	2032.3793914086186	4.858255396496309
seq_615	1977.0013698630137	1956.5772442569296	-5.5075232125859355
seq_616	1977.0013698630137	1957.1070757031302	-5.3646500710381595
seq_619	1982.0013698630137	1962.6694934036439	-5.21298979433927
seq_595	1983.0013698630137	1962.8008608792193	-5.447223263313484
seq_644	1989.004109589041	1965.9609504120856	-6.213765842714441
seq_031	2004.0013661202186	1964.717435618106	-10.593215263890954
seq_100	2006.0013698630137	1964.1866391348472	-11.275665091131494
seq_610	2000.2800546448088	1974.4005509277802	-6.978608054059405
seq_732	2015.941095890411	1973.647322004591	-11.404842778416214
seq_587	1998.0013698630137	1973.341569502008	-6.649705623897839
seq_588	1997.0013698630137	1969.947527987394	-7.295277408361523
seq_155	2008.23087431694	1980.2544702503387	-7.544053428441047
seq_620	2001.4260273972602	1973.6548016027918	-7.488725522694514
seq_647	2002.0123287671233	1975.791510140734	-7.070646255466917
seq_625	2001.354794520548	1973.386781131902	-7.541790817326197
seq_664	2007.1082191780822	1976.8836119469925	-8.150298775431146
seq_665	2007.0780821917808	1976.883727493183	-8.142140946393454
seq_362	2012.5915300546449	2027.6957406132774	4.072967032413526
seq_432	2012.0013661202186	2027.6957406132774	4.232109295381047
seq_113	2002.0013698630137	1981.1863175609951	-5.612939615412886
seq_099	2006.0013698630137	1981.1860440295025	-6.691644268738433
seq_746	2020.4986338797814	1996.1894550171226	-6.555157828892088
seq_768	2022.990410958904	2039.9721582436075	4.579259311493433
seq_742	2019.1082191780822	2055.8506760792357	9.90788727867295
seq_744	2020.0150273224044	2055.4215149305473	9.547632840639004
seq_770	2022.9767123287672	2077.410166258538	14.678401261405016
