#node	date	numeric date
NODE_0000004	1912-07-24	1912.560120
NODE_0000094	1917-04-25	1917.313227
NODE_0000082	1926-07-06	1926.512021
NODE_0000083	1927-03-06	1927.178055
NODE_0000084	1934-12-31	1934.998630
seq_056	1934-12-31	1934.998630
seq_059	1946-01-01	1946.001370
NODE_0000085	1927-07-07	1927.513775
NODE_0000086	1931-01-13	1931.034110
seq_060	1932-12-31	1932.998634
NODE_0000087	1931-07-27	1931.567487
seq_057	1932-12-31	1932.998634
seq_058	1932-12-31	1932.998634
seq_062	1933-01-10	1933.026027
NODE_0000089	1933-04-09	1933.269466
seq_048	1934-01-01	1934.001370
NODE_0000090	1933-10-04	1933.757849
NODE_0000011	1933-12-31	1933.998630
seq_044	1933-12-31	1933.998630
seq_031	1933-12-31	1933.998630
NODE_0000092	1933-12-31	1933.998630
seq_050	1933-12-31	1933.998630
seq_049	1933-12-31	1933.998630
seq_813	--	--
NODE_0000081	1938-02-03	1938.093049
seq_054	1942-01-01	1942.001370
NODE_0000079	1942-12-14	1942.952556
NODE_0000080	1943-04-26	1943.316515
seq_032	1947-01-01	1947.001370
seq_055	1946-01-01	1946.001370
NODE_0000062	1951-08-09	1951.605284
NODE_0000063	1969-07-28	1969.570577
NODE_0000064	--	--
seq_242	--	--
seq_299	--	--
NODE_0000065	1973-07-02	1973.498810
seq_023	1983-01-01	1983.001370
NODE_0000066	1986-05-01	1986.331438
NODE_0000067	1991-09-22	1991.725456
seq_021	1995-01-01	1995.001370
NODE_0000024	1992-07-22	1992.555426
seq_011	1996-01-01	1996.001366
NODE_0000069	1994-02-21	1994.140002
seq_009	1996-01-01	1996.001366
seq_010	1996-01-01	1996.001366
NODE_0000070	1987-01-29	1987.078025
seq_008	1992-01-01	1992.001366
NODE_0000071	1996-08-02	1996.585391
seq_030	2001-01-08	2001.020548
NODE_0000072	1997-06-13	1997.446761
seq_042	2002-01-01	2002.001370
seq_353	--	--
NODE_0000077	1998-12-29	1998.994237
seq_069	2007-03-01	2007.163014
NODE_0000078	1999-06-30	1999.493192
seq_026	2003-01-20	2003.053425
seq_101	2008-12-28	2008.990437
NODE_0000032	2000-02-06	2000.099205
seq_028	2000-08-16	2000.624317
NODE_0000036	2000-02-15	2000.123310
seq_029	2000-08-25	2000.648907
seq_027	2000-08-29	2000.659836
NODE_0000061	1967-05-03	1967.335762
seq_017	1968-01-01	1968.001366
NODE_0000056	1967-08-02	1967.584231
NODE_0000058	1967-11-01	1967.834049
seq_015	1968-01-01	1968.001366
seq_018	1968-01-01	1968.001366
NODE_0000041	1967-12-31	1967.997814
seq_019	1968-01-01	1968.001366
NODE_0000043	1968-01-01	1968.001366
seq_016	1968-01-01	1968.001366
seq_020	1968-01-01	1968.001366
NODE_0000055	1969-01-26	1969.070797
seq_605	2012-08-04	2012.591530
NODE_0000054	1970-03-18	1970.210713
seq_406	1987-01-01	1987.001370
NODE_0000053	1970-07-11	1970.524277
seq_296	1977-01-01	1977.001370
NODE_0000052	1970-11-10	1970.859388
seq_352	1981-01-01	1981.001370
NODE_0000049	1973-01-15	1973.038372
NODE_0000050	1976-10-02	1976.752561
seq_297	1977-01-01	1977.001370
NODE_0000051	1977-01-01	1977.001370
seq_199	1977-01-01	1977.001370
seq_298	2005-01-01	2005.001370
NODE_0000048	1975-12-12	1975.945757
seq_198	1980-01-01	1980.001366
NODE_0000047	1978-01-03	1978.006284
seq_041	1980-01-01	1980.001366
NODE_0000045	1980-10-04	1980.757793
