#node	date	numeric date
NODE_0000000	1906-02-10	1906.110979
NODE_0000095	1923-03-11	1923.191624
NODE_0000096	1927-05-03	1927.334739
seq_0314	1929-12-31	1929.998630
NODE_0000097	1929-08-04	1929.589969
seq_0351	1942-01-08	1942.020548
NODE_0000098	1930-09-05	1930.678316
NODE_0000099	1930-12-08	1930.935680
seq_0349	1931-01-11	1931.028767
seq_0350	1931-01-11	1931.028767
NODE_0000100	1983-07-18	1983.542968
NODE_0000103	1983-11-01	1983.834247
seq_0054	1983-11-01	1983.834247
seq_0055	1984-11-01	1984.834699
NODE_0000015	1996-10-28	1996.823237
seq_0056	1998-08-01	1998.582192
NODE_0000022	1998-08-01	1998.582192
seq_0177	2018-02-18	2018.132877
seq_0057	1998-08-01	1998.582192
NODE_0000104	1929-01-02	1929.003066
seq_0287	1934-12-31	1934.998630
NODE_0000105	1940-11-24	1940.897872
seq_0275	2003-01-01	2003.001370
NODE_0000106	1952-07-20	1952.549917
seq_0291	1957-01-01	1957.001370
NODE_0000107	1960-08-29	1960.660476
seq_0290	1966-01-01	1966.001370
NODE_0000108	1969-05-24	1969.394421
NODE_0000109	1971-10-13	1971.782439
seq_0356	2005-01-01	2005.001370
NODE_0000110	1973-12-21	1973.972435
seq_0296	1980-01-01	1980.001366
NODE_0000111	1980-02-05	1980.097886
NODE_0000112	1993-12-17	1993.961641
seq_0311	2006-01-01	2006.001370
seq_0383	2005-01-01	2005.001370
NODE_0000113	1981-04-09	1981.268901
seq_0384	2004-01-01	2004.001366
NODE_0000114	1982-07-04	1982.505562
seq_0386	2004-01-01	2004.001366
NODE_0000115	1990-07-26	1990.566785
seq_0353	1996-01-01	1996.001366
NODE_0000116	1992-09-09	1992.689347
seq_0385	2000-01-01	2000.001366
seq_0826	2019-06-12	2019.445205
NODE_0000117	1971-12-20	1971.968616
NODE_0000118	1985-10-01	1985.749397
seq_0273	2003-01-01	2003.001370
NODE_0000119	1987-03-31	1987.244354
seq_0276	2003-01-01	2003.001370
NODE_0000120	1992-09-02	1992.671798
seq_0272	2004-01-01	2004.001366
seq_0274	2004-01-01	2004.001366
NODE_0000121	1972-06-10	1972.442579
seq_0979	1982-01-01	1982.000000
NODE_0000123	1974-08-06	1974.595870
seq_0423	1986-01-01	1986.001370
NODE_0000124	1974-12-16	1974.956964
seq_0040	1976-01-01	1976.001366
seq_0282	1978-01-01	1978.001370
NODE_0000125	1973-02-11	1973.113254
NODE_0000126	1975-10-03	1975.754932
seq_0066	1976-01-01	1976.001366
