#node	date	numeric date
NODE_0000000	1904-05-17	1904.376485
NODE_0000001	1913-04-07	1913.265025
NODE_0000002	1916-02-15	1916.123382
seq_790	1918-01-01	1918.001370
NODE_0000003	1927-03-17	1927.206870
NODE_0000004	1928-06-09	1928.439076
seq_065	1929-12-31	1929.998630
NODE_0000005	1930-11-16	1930.875849
NODE_0000007	1930-12-19	1930.965088
seq_100	1931-01-11	1931.028767
seq_101	1931-01-11	1931.028767
NODE_0000009	1983-08-20	1983.634636
seq_098	2000-06-14	2000.452186
NODE_0000008	1983-11-01	1983.834247
seq_802	1983-11-01	1983.834247
NODE_0000011	1984-11-01	1984.834699
seq_803	1984-11-01	1984.834699
NODE_0000030	1998-03-08	1998.183142
seq_804	1998-08-01	1998.582192
NODE_0000033	1998-08-01	1998.582192
seq_805	1998-08-01	1998.582192
seq_924	2018-02-18	2018.132877
NODE_0000012	1932-12-03	1932.921136
seq_037	1934-12-31	1934.998630
NODE_0000013	1955-06-09	1955.438314
seq_040	1957-01-01	1957.001370
NODE_0000014	1965-03-27	1965.233390
seq_039	1966-01-01	1966.001370
NODE_0000015	1971-09-28	1971.741814
NODE_0000016	1975-08-22	1975.638730
seq_812	1976-01-01	1976.001366
NODE_0000017	1975-11-22	1975.892242
seq_801	1976-01-01	1976.001366
seq_811	1976-01-01	1976.001366
NODE_0000018	1971-10-27	1971.819722
seq_714	1982-01-01	1982.000000
NODE_0000019	1973-10-16	1973.791177
seq_032	1978-01-01	1978.001370
NODE_0000020	1973-10-26	1973.816767
seq_162	1986-01-01	1986.001370
NODE_0000021	1975-01-07	1975.017233
seq_106	2005-01-01	2005.001370
NODE_0000022	1976-02-27	1976.157550
seq_049	1980-01-01	1980.001366
NODE_0000023	1979-05-31	1979.413207
NODE_0000024	1993-07-08	1993.516453
seq_064	2006-01-01	2006.001370
NODE_0000025	1997-04-28	1997.323248
seq_130	2005-01-01	2005.001370
seq_458	2003-08-01	2003.582192
NODE_0000026	1985-06-23	1985.474542
seq_713	1991-01-01	1991.000000
NODE_0000027	1985-10-10	1985.775219
NODE_0000028	1993-06-01	1993.415968
seq_102	1996-01-01	1996.001366
seq_584	2019-06-12	2019.445205
NODE_0000029	1987-01-22	1987.059649
seq_131	2004-01-01	2004.001366
seq_132	2004-01-01	2004.001366
NODE_0000031	1972-05-11	1972.358542
NODE_0000032	1975-01-25	1975.065963
seq_789	1976-01-01	1976.001366
seq_034	1976-01-01	1976.001366
seq_968	1976-01-01	1976.000000
NODE_0000034	1973-11-07	1973.851969
NODE_0000035	1984-01-04	1984.008269
NODE_0000036	2003-01-03	2003.007337
seq_022	2004-01-01	2004.001366
seq_025	2004-01-01	2004.001366
NODE_0000037	1990-01-05	1990.013291
seq_021	2004-01-01	2004.001366
NODE_0000038	1994-06-08	1994.435015
seq_026	2003-01-01	2003.001370
seq_027	2003-01-01	2003.001370
NODE_0000039	1975-09-08	1975.686485
seq_033	1978-01-01	1978.001370
NODE_0000040	1976-09-16	1976.709866
seq_030	1986-01-01	1986.001370
NODE_0000041	1978-11-02	1978.836057
NODE_0000042	1984-04-03	1984.254540
seq_126	1992-09-08	1992.687158
NODE_0000043	1993-02-01	1993.086138
seq_123	2007-06-05	2007.426027
NODE_0000044	1993-12-29	1993.993319
seq_099	2002-01-01	2002.001370
seq_124	2005-04-14	2005.283562
NODE_0000045	1983-08-03	1983.589024
NODE_0000046	1983-10-09	1983.771065
seq_035	1987-01-01	1987.001370
seq_043	1987-01-01	1987.001370
NODE_0000047	1983-10-16	1983.790964
seq_036	1985-01-01	1985.001370
NODE_0000048	1984-05-10	1984.356101
seq_185	2009-09-01	2009.667123
NODE_0000049	1985-08-01	1985.582193
seq_041	1987-01-01	1987.001370
NODE_0000051	1987-05-17	1987.374781
seq_042	1988-01-01	1988.001366
seq_788	1988-01-01	1988.001366
NODE_0000052	1987-12-31	1987.999693
NODE_0000053	1993-08-28	1993.656422
seq_806	1994-08-22	1994.639726
NODE_0000054	1993-11-05	1993.845695
seq_807	1995-07-27	1995.568493
seq_808	1995-01-01	1995.001370
NODE_0000055	1988-12-24	1988.978761
seq_031	1991-01-01	1991.001370
NODE_0000056	1989-02-03	1989.093094
seq_797	1991-01-01	1991.001370
NODE_0000057	1989-04-14	1989.284471
seq_038	1991-01-01	1991.001370
NODE_0000058	1989-11-01	1989.834585
NODE_0000059	1991-09-02	1991.670565
seq_119	2002-06-13	2002.447945
seq_122	2000-09-15	2000.706284
NODE_0000060	1990-07-29	1990.572706
seq_048	2005-01-01	2005.001370
NODE_0000061	1993-09-06	1993.680252
seq_121	2001-01-17	2001.045205
NODE_0000062	1995-01-22	1995.059152
seq_029	2004-01-01	2004.001366
seq_120	2001-12-28	2001.990411
NODE_0000063	1927-06-24	1927.479349
seq_800	1934-12-31	1934.998630
NODE_0000064	1928-07-20	1928.550722
NODE_0000065	1933-09-07	1933.683970
NODE_0000066	1933-12-05	1933.926689
seq_777	1933-12-31	1933.998630
seq_793	1933-12-31	1933.998630
NODE_0000088	1934-01-01	1934.001370
seq_451	2015-01-12	2015.031507
seq_794	1934-01-01	1934.001370
NODE_0000069	1933-12-04	1933.926000
seq_796	1933-12-31	1933.998630
NODE_0000096	1933-12-31	1933.998630
seq_795	1933-12-31	1933.998630
NODE_0000098	2004-03-14	2004.200383
seq_505	2011-12-10	2011.941096
seq_067	2005-01-01	2005.001370
NODE_0000072	1944-03-18	1944.210922
NODE_0000073	1976-11-01	1976.835803
NODE_0000103	1976-11-01	1976.835803
seq_776	1977-01-01	1977.001370
NODE_0000075	1977-01-01	1977.001370
seq_775	1977-01-01	1977.001370
seq_784	1978-01-01	1978.001370
NODE_0000076	1978-12-31	1978.997843
NODE_0000077	1980-07-09	1980.519392
seq_785	1983-01-01	1983.001370
NODE_0000078	1981-05-05	1981.341090
seq_779	1982-01-01	1982.001370
seq_782	1982-01-01	1982.001370
NODE_0000079	1979-12-26	1979.984224
NODE_0000080	2003-10-16	2003.790897
seq_069	2006-01-01	2006.001370
seq_070	2004-01-01	2004.001366
NODE_0000081	1989-11-08	1989.853067
NODE_0000082	1989-12-21	1989.969892
seq_758	1998-01-01	1998.001370
seq_787	1995-07-31	1995.579452
NODE_0000083	1994-09-04	1994.674821
seq_757	1997-01-01	1997.001370
NODE_0000084	1996-10-10	1996.773525
seq_783	2001-07-19	2001.546575
NODE_0000085	1999-12-19	1999.964486
seq_155	2008-03-01	2008.165301
NODE_0000086	2000-05-13	2000.364003
seq_771	2000-08-29	2000.659836
NODE_0000087	2000-06-24	2000.479380
seq_772	2000-08-16	2000.624317
seq_773	2000-08-15	2000.621585
NODE_0000089	2002-08-16	2002.623877
seq_768	2003-01-20	2003.053425
NODE_0000090	2004-03-21	2004.220652
seq_103	2006-01-01	2006.001370
seq_104	2006-01-01	2006.001370
NODE_0000091	1946-04-22	1946.305114
seq_778	1947-01-01	1947.001370
NODE_0000092	1954-12-20	1954.967838
seq_799	1957-01-01	1957.001370
NODE_0000093	1964-01-27	1964.071425
seq_760	1968-01-01	1968.001366
NODE_0000094	1968-05-06	1968.346418
NODE_0000095	1969-06-26	1969.483901
seq_444	2012-08-04	2012.591530
seq_764	--	--
NODE_0000097	1969-12-11	1969.943253
seq_765	1971-01-01	1971.001370
seq_763	--	--
seq_766	1971-01-01	1971.001370
NODE_0000099	1969-10-06	1969.761881
seq_116	1981-01-01	1981.001370
NODE_0000100	1969-12-13	1969.948579
seq_767	1972-01-01	1972.001366
NODE_0000101	1970-02-21	1970.141285
seq_117	1977-01-01	1977.001370
NODE_0000102	1972-06-12	1972.446374
seq_167	1990-08-06	1990.595890
NODE_0000104	1975-10-08	1975.768524
seq_014	1977-01-01	1977.001370
NODE_0000105	1977-01-01	1977.001370
seq_206	2010-02-01	2010.086301
seq_004	1977-01-01	1977.001370
NODE_0000177	2001-09-30	2001.747280
seq_076	2002-01-01	2002.001370
seq_066	2005-01-01	2005.001370
NODE_0000108	1975-06-03	1975.421297
seq_003	1980-01-01	1980.001366
NODE_0000109	1979-01-17	1979.044779
seq_125	2002-11-29	2002.910959
NODE_0000110	1983-08-29	1983.657931
seq_759	1997-01-01	1997.001370
NODE_0000111	1989-04-22	1989.306425
seq_761	1997-01-01	1997.001370
NODE_0000112	1991-09-22	1991.725115
seq_754	1993-01-01	1993.001370
NODE_0000113	1991-11-10	1991.859767
seq_755	1995-01-01	1995.001370
NODE_0000114	1993-10-15	1993.786684
seq_756	1996-01-01	1996.001366
NODE_0000115	1994-08-13	1994.615530
NODE_0000116	1996-03-08	1996.184490
seq_016	1997-01-01	1997.001370
seq_015	1997-01-01	1997.001370
NODE_0000118	1996-06-09	1996.438457
seq_017	1997-01-01	1997.001370
seq_018	1997-01-01	1997.001370
NODE_0000119	1994-11-22	1994.891013
NODE_0000120	2003-02-24	2003.149860
seq_872	2013-02-27	2013.157534
seq_873	2013-02-20	2013.138356
NODE_0000121	1995-01-26	1995.070269
NODE_0000122	1995-06-14	1995.451434
seq_209	2009-09-24	2009.730137
NODE_0000123	1998-11-29	1998.910273
seq_023	2003-01-01	2003.001370
NODE_0000124	2002-01-01	2002.001370
seq_752	2002-01-01	2002.001370
seq_753	2002-01-01	2002.001370
NODE_0000125	1996-05-30	1996.411248
seq_791	2004-01-01	2004.001366
NODE_0000126	1996-10-28	1996.824161
NODE_0000214	2003-09-04	2003.676191
NODE_0000127	2004-09-12	2004.699273
seq_786	2006-04-05	2006.258904
seq_769	2005-05-25	2005.395890
seq_781	2005-06-29	2005.491781
NODE_0000224	2003-09-04	2003.676191
seq_770	2005-07-01	2005.497260
NODE_0000131	2003-12-02	2003.918294
seq_774	2004-12-10	2004.941257
seq_780	2004-09-10	2004.692623
NODE_0000132	1997-08-05	1997.593957
NODE_0000133	1998-10-13	1998.781701
seq_863	2011-01-01	2011.001370
NODE_0000134	1999-10-19	1999.799634
seq_862	2010-08-17	2010.626027
NODE_0000135	2000-07-28	2000.572902
seq_902	2015-12-23	2015.976712
NODE_0000136	2002-08-05	2002.592281
seq_934	2020-01-06	2020.015027
NODE_0000137	2004-05-05	2004.344200
seq_864	2010-08-05	2010.593151
seq_903	2015-11-24	2015.897260
NODE_0000138	1998-07-16	1998.537400
seq_840	2009-04-07	2009.264384
NODE_0000139	1999-07-27	1999.567755
NODE_0000140	2003-04-04	2003.256807
seq_898	2012-12-18	2012.963115
NODE_0000141	2006-09-16	2006.708797
seq_890	2012-07-26	2012.566940
NODE_0000142	2010-07-10	2010.522502
seq_966	2023-01-17	2023.045205
NODE_0000143	2013-05-02	2013.331955
seq_923	2018-11-13	2018.867123
seq_932	2019-04-01	2019.247945
NODE_0000144	2012-11-14	2012.870577
NODE_0000145	2014-03-26	2014.231043
seq_429	2017-10-30	2017.828767
NODE_0000146	2018-09-09	2018.688484
seq_588	2019-06-28	2019.489041
NODE_0000147	2019-02-03	2019.090987
seq_585	2019-04-22	2019.305479
seq_587	2019-08-29	2019.658904
NODE_0000148	2015-06-04	2015.423408
NODE_0000149	2015-09-07	2015.683924
seq_607	2018-03-13	2018.195890
NODE_0000150	2017-06-19	2017.464227
seq_956	2021-12-09	2021.938356
NODE_0000151	2021-05-24	2021.392791
seq_964	2022-12-03	2022.921918
seq_967	2022-12-16	2022.957534
NODE_0000152	2017-04-05	2017.257982
seq_929	2019-02-18	2019.132877
NODE_0000153	2020-02-25	2020.152224
seq_957	2021-12-20	2021.968493
NODE_0000154	2020-06-19	2020.466269
seq_959	2022-04-20	2022.300000
NODE_0000155	2021-12-22	2021.973454
seq_958	2022-04-01	2022.247945
seq_961	2022-06-01	2022.415068
