sequences	lengths
seq_001	90
seq_002	90
seq_003	90
seq_004	90
seq_005	90
seq_006	90
seq_007	57
seq_008	57
seq_009	90
seq_010	90
seq_011	90
seq_012	90
seq_013	90
seq_014	90
seq_015	87
seq_016	90
seq_017	90
seq_018	90
seq_019	90
seq_020	90
seq_021	90
seq_022	90
seq_023	90
seq_024	57
seq_025	87
seq_026	63
seq_027	63
seq_028	63
seq_029	63
seq_030	63
seq_031	90
seq_032	57
seq_033	90
seq_034	57
seq_035	90
seq_036	90
seq_037	57
seq_038	57
seq_039	90
seq_040	57
seq_041	90
seq_042	90
seq_043	57
seq_044	57
seq_045	11
seq_046	11
seq_047	90
seq_048	90
seq_049	87
seq_050	11
seq_051	87
seq_052	87
seq_053	87
seq_054	11
seq_055	11
seq_056	87
seq_057	90
seq_058	90
seq_059	90
seq_060	90
seq_061	87
seq_062	90
seq_063	11
seq_064	11
seq_065	11
seq_066	11
seq_067	11
seq_068	90
seq_069	90
seq_070	11
seq_071	1
seq_072	8
seq_073	11
seq_074	11
seq_075	11
seq_076	11
seq_077	11
seq_078	11
seq_079	11
seq_080	11
seq_081	57
seq_082	11
seq_083	11
seq_084	11
seq_085	11
seq_086	11
seq_087	11
seq_088	57
seq_089	11
seq_090	90
seq_091	90
seq_092	11
seq_093	11
seq_094	90
seq_095	90
seq_096	11
seq_097	11
seq_098	11
seq_099	90
seq_100	90
seq_101	11
seq_102	11
seq_103	11
seq_104	11
seq_105	90
seq_106	90
seq_107	57
seq_108	11
seq_109	11
seq_110	11
seq_111	11
seq_112	11
seq_113	11
seq_114	79
seq_115	79
seq_116	90
seq_117	90
seq_118	90
seq_119	11
seq_120	11
seq_121	11
seq_122	11
seq_123	90
seq_124	90
seq_125	90
seq_126	79
seq_127	11
seq_128	41
seq_129	90
seq_130	41
seq_131	11
seq_132	11
seq_133	90
seq_134	11
seq_135	79
seq_136	79
seq_137	11
seq_138	11
seq_139	11
seq_140	11
seq_141	11
seq_142	11
seq_143	90
seq_144	11
seq_145	11
seq_146	90
seq_147	79
seq_148	90
seq_149	8
seq_150	79
seq_151	90
seq_152	90
seq_153	90
seq_154	90
seq_155	8
seq_156	8
seq_157	11
seq_158	11
seq_159	11
seq_160	11
seq_161	11
seq_162	11
seq_163	90
seq_164	87
seq_165	79
seq_166	90
seq_167	90
seq_168	90
seq_169	90
seq_170	90
seq_171	11
seq_172	11
seq_173	11
seq_174	11
seq_175	11
seq_176	79
seq_177	79
seq_178	57
seq_179	79
seq_180	79
seq_181	57
seq_182	57
seq_183	79
seq_184	11
seq_185	90
seq_186	11
seq_187	76
seq_188	11
seq_189	11
seq_190	90
seq_191	8
seq_192	90
seq_193	90
seq_194	11
seq_195	87
seq_196	11
seq_197	11
seq_198	11
seq_199	11
seq_200	90
seq_201	79
seq_202	37
seq_203	52
seq_204	90
seq_205	90
seq_206	90
seq_207	87
seq_208	57
seq_209	63
seq_210	90
seq_211	90
seq_212	90
seq_213	90
seq_214	57
seq_215	90
seq_216	90
seq_217	90
seq_218	90
seq_219	90
seq_220	90
seq_221	90
seq_222	90
seq_223	90
seq_224	90
seq_225	57
seq_226	79
seq_227	90
seq_228	90
seq_229	90
seq_230	52
seq_231	90
seq_232	90
seq_233	90
seq_234	90
seq_235	11
seq_236	11
seq_237	11
seq_238	90
seq_239	90
seq_240	90
seq_241	90
seq_242	11
seq_243	90
seq_244	90
seq_245	11
seq_246	11
seq_247	11
seq_248	11
seq_249	11
seq_250	11
seq_251	8
seq_252	11
seq_253	11
seq_254	11
seq_255	34
seq_256	11
seq_257	8
seq_258	11
seq_259	11
seq_260	11
seq_261	52
seq_262	90
seq_263	11
seq_264	90
seq_265	90
seq_266	71
seq_267	90
seq_268	90
seq_269	90
seq_270	90
seq_271	90
seq_272	90
seq_273	90
seq_274	90
seq_275	11
seq_276	90
seq_277	90
seq_278	90
seq_279	90
seq_280	90
seq_281	90
seq_282	11
seq_283	90
seq_284	57
seq_285	90
seq_286	90
seq_287	90
seq_288	90
seq_289	57
seq_290	90
seq_291	90
seq_292	90
seq_293	90
seq_294	11
seq_295	11
seq_296	52
seq_297	11
seq_298	57
seq_299	90
seq_300	90
seq_301	79
seq_302	24
seq_303	90
seq_304	90
seq_305	57
seq_306	11
seq_307	11
seq_308	11
seq_309	11
seq_310	90
seq_311	79
seq_312	11
seq_313	11
seq_314	57
seq_315	25
seq_316	11
seq_317	57
seq_318	11
seq_319	11
seq_320	11
seq_321	11
seq_322	34
seq_323	34
seq_324	34
seq_325	34
seq_326	8
seq_327	52
seq_328	34
seq_329	90
seq_330	90
seq_331	34
seq_332	34
seq_333	90
seq_334	8
seq_335	90
seq_336	90
seq_337	90
seq_338	11
seq_339	11
seq_340	11
seq_341	90
seq_342	11
seq_343	11
seq_344	11
seq_345	11
seq_346	11
seq_347	11
seq_348	90
seq_349	11
seq_350	11
seq_351	11
seq_352	11
seq_353	8
seq_354	11
seq_355	11
seq_356	34
seq_357	79
seq_358	90
seq_359	90
seq_360	57
seq_361	57
seq_362	90
seq_363	90
seq_364	90
seq_365	90
seq_366	90
